Energy	   (a,n)	   S.F.	   tot
1.0000e+01 2.0250e-13 3.0000e-15 2.0550e-13
9.9000e+00 2.7820e-13 3.2950e-15 2.8150e-13
9.8000e+00 4.1180e-13 3.6200e-15 4.1540e-13
9.7000e+00 5.5640e-13 3.9760e-15 5.6030e-13
9.6000e+00 7.0600e-13 4.3660e-15 7.1030e-13
9.5000e+00 8.6150e-13 4.7910e-15 8.6630e-13
9.4000e+00 1.0210e-12 5.2610e-15 1.0260e-12
9.2000e+00 1.4280e-12 6.3340e-15 1.4340e-12
9.1000e+00 1.6830e-12 6.9480e-15 1.6900e-12
9.0000e+00 1.9690e-12 7.6210e-15 1.9770e-12
8.9000e+00 2.2650e-12 8.3550e-15 2.2730e-12
8.8000e+00 2.5700e-12 9.1610e-15 2.5790e-12
8.7000e+00 2.8920e-12 1.0040e-14 2.9020e-12
8.6000e+00 3.3490e-12 1.1000e-14 3.3600e-12
8.4000e+00 4.4490e-12 1.3200e-14 4.4620e-12
8.3000e+00 5.0290e-12 1.4460e-14 5.0440e-12
8.2000e+00 5.7150e-12 1.5830e-14 5.7310e-12
8.1000e+00 6.4920e-12 1.7330e-14 6.5100e-12
8.0000e+00 7.5390e-12 1.8960e-14 7.5580e-12
7.9000e+00 8.6910e-12 2.0750e-14 8.7120e-12
7.8000e+00 9.8900e-12 2.2690e-14 9.9120e-12
7.6000e+00 1.2460e-11 2.7130e-14 1.2480e-11
7.5000e+00 1.3820e-11 2.9650e-14 1.3850e-11
7.4000e+00 1.5350e-11 3.2390e-14 1.5390e-11
7.3000e+00 1.6970e-11 3.5390e-14 1.7000e-11
7.2000e+00 1.8850e-11 3.8640e-14 1.8890e-11
7.1000e+00 2.0940e-11 4.2180e-14 2.0980e-11
7.0000e+00 2.3040e-11 4.6040e-14 2.3090e-11
6.8000e+00 2.7890e-11 5.4790e-14 2.7940e-11
6.7000e+00 3.0530e-11 5.9740e-14 3.0590e-11
6.6000e+00 3.3320e-11 6.5120e-14 3.3390e-11
6.5000e+00 3.6480e-11 7.0960e-14 3.6550e-11
6.4000e+00 4.0340e-11 7.7290e-14 4.0420e-11
6.3000e+00 4.5010e-11 8.4170e-14 4.5100e-11
