Energy	   (a,n)	   S.F.	   tot
1.0000e+01 1.3690e-14 1.5760e-19 1.3690e-14
9.9000e+00 1.5120e-14 1.7790e-19 1.5120e-14
9.8000e+00 1.6630e-14 2.0190e-19 1.6630e-14
9.7000e+00 1.8210e-14 2.2890e-19 1.8210e-14
9.6000e+00 1.9840e-14 2.5750e-19 1.9840e-14
9.5000e+00 2.1530e-14 2.9220e-19 2.1530e-14
9.4000e+00 2.4050e-14 3.2910e-19 2.4050e-14
9.2000e+00 3.9050e-14 4.2070e-19 3.9050e-14
9.1000e+00 4.8300e-14 4.7530e-19 4.8300e-14
9.0000e+00 5.7930e-14 5.3640e-19 5.7930e-14
8.9000e+00 6.8260e-14 6.0470e-19 6.8260e-14
8.8000e+00 8.0120e-14 6.8340e-19 8.0120e-14
8.7000e+00 9.3980e-14 7.7060e-19 9.3980e-14
8.6000e+00 1.0770e-13 8.6890e-19 1.0770e-13
8.4000e+00 1.4260e-13 1.1040e-18 1.4260e-13
8.3000e+00 1.6090e-13 1.2440e-18 1.6090e-13
8.2000e+00 1.8110e-13 1.4020e-18 1.8110e-13
8.1000e+00 2.0310e-13 1.5780e-18 2.0310e-13
8.0000e+00 2.2570e-13 1.7770e-18 2.2570e-13
7.9000e+00 2.5040e-13 1.9990e-18 2.5040e-13
7.8000e+00 2.7600e-13 2.2500e-18 2.7600e-13
7.6000e+00 3.3210e-13 2.8440e-18 3.3210e-13
7.5000e+00 3.6690e-13 3.1960e-18 3.6690e-13
7.4000e+00 4.1110e-13 3.5920e-18 4.1110e-13
7.3000e+00 4.5940e-13 4.0320e-18 4.5940e-13
7.2000e+00 5.1820e-13 4.5280e-18 5.1820e-13
7.1000e+00 5.8270e-13 5.0810e-18 5.8270e-13
7.0000e+00 6.4720e-13 5.7010e-18 6.4720e-13
6.8000e+00 8.4430e-13 7.1650e-18 8.4430e-13
6.7000e+00 9.5450e-13 8.0290e-18 9.5450e-13
6.6000e+00 1.0700e-12 8.9930e-18 1.0700e-12
6.5000e+00 1.1960e-12 1.0070e-17 1.1960e-12
6.4000e+00 1.3330e-12 1.1270e-17 1.3330e-12
6.3000e+00 1.4870e-12 1.2600e-17 1.4870e-12
6.2000e+00 1.6430e-12 1.4090e-17 1.6430e-12
6.0000e+00 2.0040e-12 1.7590e-17 2.0040e-12
5.9000e+00 2.2030e-12 1.9640e-17 2.2030e-12
5.8000e+00 2.4150e-12 2.1920e-17 2.4150e-12
5.7000e+00 2.7320e-12 2.4450e-17 2.7320e-12
5.6000e+00 3.0890e-12 2.7250e-17 3.0890e-12
5.5000e+00 3.4490e-12 3.0360e-17 3.4490e-12
5.4000e+00 3.8230e-12 3.3810e-17 3.8230e-12
5.2000e+00 5.0470e-12 4.1850e-17 5.0470e-12
5.1000e+00 5.7140e-12 4.6520e-17 5.7140e-12
5.0000e+00 6.4640e-12 5.1680e-17 6.4640e-12
4.9000e+00 7.3530e-12 5.7370e-17 7.3530e-12
4.8000e+00 8.4260e-12 6.3650e-17 8.4260e-12
4.7000e+00 9.6170e-12 7.0570e-17 9.6170e-12
4.6000e+00 1.0900e-11 7.8180e-17 1.0900e-11
4.4000e+00 1.3960e-11 9.5750e-17 1.3960e-11
4.3000e+00 1.5730e-11 1.0580e-16 1.5730e-11
4.2000e+00 1.7760e-11 1.1690e-16 1.7760e-11
4.1000e+00 1.9970e-11 1.2900e-16 1.9970e-11
4.0000e+00 2.1940e-11 1.4220e-16 2.1940e-11
3.9000e+00 2.4260e-11 1.5670e-16 2.4260e-11
3.8000e+00 2.6610e-11 1.7240e-16 2.6610e-11
3.6000e+00 3.2090e-11 2.0830e-16 3.2090e-11
3.5000e+00 3.4900e-11 2.2850e-16 3.4900e-11
3.4000e+00 3.7680e-11 2.5040e-16 3.7680e-11
3.3000e+00 4.0850e-11 2.7420e-16 4.0850e-11
3.2000e+00 4.3850e-11 2.9980e-16 4.3850e-11
3.1000e+00 4.6610e-11 3.2730e-16 4.6610e-11
3.0000e+00 4.9890e-11 3.5700e-16 4.9890e-11
2.8000e+00 5.8190e-11 4.2280e-16 5.8190e-11
2.7000e+00 6.2530e-11 4.5900e-16 6.2530e-11
2.6000e+00 6.7310e-11 4.9760e-16 6.7310e-11
2.5000e+00 7.1970e-11 5.3840e-16 7.1970e-11
2.4000e+00 7.7130e-11 5.8150e-16 7.7130e-11
2.3000e+00 8.2310e-11 6.2680e-16 8.2310e-11
2.2000e+00 8.7810e-11 6.7420e-16 8.7810e-11
2.0000e+00 9.8720e-11 7.7470e-16 9.8720e-11
1.9000e+00 1.0330e-10 8.2730e-16 1.0330e-10
1.8000e+00 1.0750e-10 8.8090e-16 1.0750e-10
1.7000e+00 1.1170e-10 9.3500e-16 1.1170e-10
