Energy	   (a,n)	   S.F.	   tot
1.0000e+01 3.3530e-13 1.5760e-19 3.3530e-13
9.9000e+00 3.9710e-13 1.7790e-19 3.9710e-13
9.8000e+00 4.5380e-13 2.0190e-19 4.5380e-13
9.7000e+00 5.2330e-13 2.2890e-19 5.2330e-13
9.6000e+00 6.1270e-13 2.5750e-19 6.1270e-13
9.5000e+00 6.9010e-13 2.9220e-19 6.9010e-13
9.4000e+00 7.6280e-13 3.2910e-19 7.6280e-13
9.2000e+00 9.1380e-13 4.2070e-19 9.1380e-13
9.1000e+00 9.8610e-13 4.7530e-19 9.8610e-13
9.0000e+00 1.0700e-12 5.3640e-19 1.0700e-12
8.9000e+00 1.1600e-12 6.0470e-19 1.1600e-12
8.8000e+00 1.2570e-12 6.8340e-19 1.2570e-12
8.7000e+00 1.3760e-12 7.7060e-19 1.3760e-12
8.6000e+00 1.5430e-12 8.6890e-19 1.5430e-12
8.4000e+00 1.9040e-12 1.1040e-18 1.9040e-12
8.3000e+00 2.1810e-12 1.2440e-18 2.1810e-12
8.2000e+00 2.5670e-12 1.4020e-18 2.5670e-12
8.1000e+00 3.2030e-12 1.5780e-18 3.2030e-12
8.0000e+00 3.8860e-12 1.7770e-18 3.8860e-12
7.9000e+00 4.7330e-12 1.9990e-18 4.7330e-12
7.8000e+00 5.3690e-12 2.2500e-18 5.3690e-12
7.6000e+00 6.3240e-12 2.8440e-18 6.3240e-12
7.5000e+00 7.1010e-12 3.1960e-18 7.1010e-12
7.4000e+00 8.2370e-12 3.5920e-18 8.2370e-12
7.3000e+00 9.3390e-12 4.0320e-18 9.3390e-12
7.2000e+00 1.0590e-11 4.5280e-18 1.0590e-11
7.1000e+00 1.1730e-11 5.0810e-18 1.1730e-11
7.0000e+00 1.2970e-11 5.7010e-18 1.2970e-11
6.8000e+00 1.4860e-11 7.1650e-18 1.4860e-11
6.7000e+00 1.5300e-11 8.0290e-18 1.5300e-11
6.6000e+00 1.5570e-11 8.9930e-18 1.5570e-11
6.5000e+00 1.5770e-11 1.0070e-17 1.5770e-11
6.4000e+00 1.6060e-11 1.1270e-17 1.6060e-11
6.3000e+00 1.6050e-11 1.2600e-17 1.6050e-11
6.2000e+00 1.6080e-11 1.4090e-17 1.6080e-11
6.0000e+00 1.6010e-11 1.7590e-17 1.6010e-11
5.9000e+00 1.6080e-11 1.9640e-17 1.6080e-11
5.8000e+00 1.6260e-11 2.1920e-17 1.6260e-11
5.7000e+00 1.6220e-11 2.4450e-17 1.6220e-11
5.6000e+00 1.6320e-11 2.7250e-17 1.6320e-11
5.5000e+00 1.7370e-11 3.0360e-17 1.7370e-11
5.4000e+00 1.8740e-11 3.3810e-17 1.8740e-11
5.2000e+00 1.9390e-11 4.1850e-17 1.9390e-11
5.1000e+00 1.8690e-11 4.6520e-17 1.8690e-11
5.0000e+00 1.7760e-11 5.1680e-17 1.7760e-11
4.9000e+00 1.7450e-11 5.7370e-17 1.7450e-11
4.8000e+00 1.6810e-11 6.3650e-17 1.6810e-11
4.7000e+00 1.5290e-11 7.0570e-17 1.5290e-11
4.6000e+00 1.3860e-11 7.8180e-17 1.3860e-11
4.4000e+00 1.2140e-11 9.5750e-17 1.2140e-11
4.3000e+00 1.2180e-11 1.0580e-16 1.2180e-11
4.2000e+00 1.2150e-11 1.1690e-16 1.2150e-11
4.1000e+00 1.2080e-11 1.2900e-16 1.2080e-11
4.0000e+00 1.1990e-11 1.4220e-16 1.1990e-11
3.9000e+00 1.1950e-11 1.5670e-16 1.1960e-11
3.8000e+00 1.1980e-11 1.7240e-16 1.1990e-11
3.6000e+00 9.2570e-12 2.0830e-16 9.2570e-12
3.5000e+00 8.3560e-12 2.2850e-16 8.3570e-12
3.4000e+00 7.9280e-12 2.5040e-16 7.9290e-12
3.3000e+00 7.3190e-12 2.7420e-16 7.3190e-12
3.2000e+00 6.7370e-12 2.9980e-16 6.7370e-12
3.1000e+00 5.4120e-12 3.2730e-16 5.4130e-12
3.0000e+00 4.5460e-12 3.5700e-16 4.5470e-12
2.8000e+00 5.1430e-12 4.2280e-16 5.1430e-12
2.7000e+00 5.7430e-12 4.5900e-16 5.7440e-12
2.6000e+00 6.3750e-12 4.9760e-16 6.3760e-12
2.5000e+00 7.0110e-12 5.3840e-16 7.0110e-12
2.4000e+00 7.6550e-12 5.8150e-16 7.6560e-12
2.3000e+00 8.3550e-12 6.2680e-16 8.3560e-12
2.2000e+00 9.0480e-12 6.7420e-16 9.0490e-12
2.0000e+00 1.0650e-11 7.7470e-16 1.0650e-11
1.9000e+00 1.1680e-11 8.2730e-16 1.1680e-11
1.8000e+00 1.2680e-11 8.8090e-16 1.2680e-11
1.7000e+00 1.3710e-11 9.3500e-16 1.3710e-11
1.6000e+00 1.4480e-11 9.8920e-16 1.4480e-11
1.5000e+00 1.5340e-11 1.0430e-15 1.5340e-11
1.4000e+00 1.6710e-11 1.0940e-15 1.6710e-11
1.2000e+00 2.0520e-11 1.1880e-15 2.0520e-11
1.1000e+00 2.2240e-11 1.2280e-15 2.2240e-11
1.0000e+00 2.3160e-11 1.2600e-15 2.3160e-11
9.0000e-01 2.3710e-11 1.2820e-15 2.3710e-11
8.0000e-01 2.3820e-11 1.2920e-15 2.3830e-11
7.0000e-01 2.4310e-11 1.2870e-15 2.4320e-11
6.0000e-01 2.5200e-11 1.2620e-15 2.5210e-11
4.0000e-01 2.4490e-11 1.1320e-15 2.4490e-11
3.0000e-01 2.1130e-11 1.0070e-15 2.1130e-11
2.0000e-01 1.7630e-11 8.1440e-16 1.7630e-11
