Energy	   (a,n)	   S.F.	   tot
1.0000e+01 0.0000e+00 3.0000e-15 3.0000e-15
9.9000e+00 2.0240e-13 3.2950e-15 2.0570e-13
9.8000e+00 1.6790e-12 3.6200e-15 1.6830e-12
9.7000e+00 3.8340e-12 3.9760e-15 3.8380e-12
9.6000e+00 6.6050e-12 4.3660e-15 6.6090e-12
9.5000e+00 9.0010e-12 4.7910e-15 9.0060e-12
9.4000e+00 1.1260e-11 5.2610e-15 1.1270e-11
9.2000e+00 2.1830e-11 6.3340e-15 2.1830e-11
9.1000e+00 2.8520e-11 6.9480e-15 2.8520e-11
9.0000e+00 3.6330e-11 7.6210e-15 3.6330e-11
8.9000e+00 4.4570e-11 8.3550e-15 4.4580e-11
8.8000e+00 5.3630e-11 9.1610e-15 5.3640e-11
8.7000e+00 6.2800e-11 1.0040e-14 6.2810e-11
8.6000e+00 7.0920e-11 1.1000e-14 7.0930e-11
8.4000e+00 9.1640e-11 1.3200e-14 9.1650e-11
8.3000e+00 1.0800e-10 1.4460e-14 1.0810e-10
8.2000e+00 1.2470e-10 1.5830e-14 1.2480e-10
8.1000e+00 1.4900e-10 1.7330e-14 1.4900e-10
8.0000e+00 1.7400e-10 1.8960e-14 1.7400e-10
7.9000e+00 2.0520e-10 2.0750e-14 2.0520e-10
7.8000e+00 2.2910e-10 2.2690e-14 2.2910e-10
7.6000e+00 2.6840e-10 2.7130e-14 2.6840e-10
7.5000e+00 2.9950e-10 2.9650e-14 2.9950e-10
7.4000e+00 3.4060e-10 3.2390e-14 3.4070e-10
7.3000e+00 3.7610e-10 3.5390e-14 3.7610e-10
7.2000e+00 4.1590e-10 3.8640e-14 4.1590e-10
7.1000e+00 4.5230e-10 4.2180e-14 4.5230e-10
7.0000e+00 4.9470e-10 4.6040e-14 4.9470e-10
6.8000e+00 5.6130e-10 5.4790e-14 5.6140e-10
6.7000e+00 5.7710e-10 5.9740e-14 5.7710e-10
6.6000e+00 5.8690e-10 6.5120e-14 5.8700e-10
6.5000e+00 5.9610e-10 7.0960e-14 5.9620e-10
6.4000e+00 6.1100e-10 7.7290e-14 6.1110e-10
6.3000e+00 6.1460e-10 8.4170e-14 6.1470e-10
6.2000e+00 6.2010e-10 9.1620e-14 6.2020e-10
6.0000e+00 6.2030e-10 1.0840e-13 6.2040e-10
5.9000e+00 6.2310e-10 1.1790e-13 6.2320e-10
5.8000e+00 6.2640e-10 1.2820e-13 6.2650e-10
5.7000e+00 6.1730e-10 1.3920e-13 6.1750e-10
5.6000e+00 6.1180e-10 1.5120e-13 6.1190e-10
5.5000e+00 6.3650e-10 1.6420e-13 6.3660e-10
5.4000e+00 6.7610e-10 1.7810e-13 6.7630e-10
5.2000e+00 6.7970e-10 2.0950e-13 6.7990e-10
5.1000e+00 6.5120e-10 2.2700e-13 6.5140e-10
5.0000e+00 6.1530e-10 2.4580e-13 6.1550e-10
4.9000e+00 5.9830e-10 2.6610e-13 5.9850e-10
4.8000e+00 5.6970e-10 2.8790e-13 5.6990e-10
4.7000e+00 5.1630e-10 3.1140e-13 5.1660e-10
4.6000e+00 4.7170e-10 3.3650e-13 4.7200e-10
4.4000e+00 4.0990e-10 3.9240e-13 4.1030e-10
4.3000e+00 4.0950e-10 4.2340e-13 4.1000e-10
4.2000e+00 4.0600e-10 4.5650e-13 4.0640e-10
4.1000e+00 4.0200e-10 4.9190e-13 4.0250e-10
4.0000e+00 3.9740e-10 5.2970e-13 3.9790e-10
3.9000e+00 3.9010e-10 5.7000e-13 3.9070e-10
3.8000e+00 3.7930e-10 6.1290e-13 3.7990e-10
3.6000e+00 2.6450e-10 7.0690e-13 2.6520e-10
3.5000e+00 2.2220e-10 7.5830e-13 2.2290e-10
3.4000e+00 1.9530e-10 8.1270e-13 1.9610e-10
3.3000e+00 1.6240e-10 8.7020e-13 1.6320e-10
3.2000e+00 1.3400e-10 9.3100e-13 1.3500e-10
3.1000e+00 8.8860e-11 9.9490e-13 8.9850e-11
3.0000e+00 5.7300e-11 1.0620e-12 5.8370e-11
2.8000e+00 6.3780e-11 1.2070e-12 6.4990e-11
2.7000e+00 7.6070e-11 1.2840e-12 7.7350e-11
2.6000e+00 9.9760e-11 1.3640e-12 1.0110e-10
2.5000e+00 1.3480e-10 1.4470e-12 1.3630e-10
2.4000e+00 1.7060e-10 1.5330e-12 1.7210e-10
2.3000e+00 2.1130e-10 1.6220e-12 2.1290e-10
2.2000e+00 2.5640e-10 1.7130e-12 2.5810e-10
2.0000e+00 3.5600e-10 1.9000e-12 3.5790e-10
1.9000e+00 4.0220e-10 1.9950e-12 4.0420e-10
1.8000e+00 4.5000e-10 2.0900e-12 4.5210e-10
1.7000e+00 5.0620e-10 2.1840e-12 5.0840e-10
1.6000e+00 5.8130e-10 2.2760e-12 5.8360e-10
1.5000e+00 6.6270e-10 2.3650e-12 6.6510e-10
1.4000e+00 7.5250e-10 2.4490e-12 7.5490e-10
1.2000e+00 9.5340e-10 2.5960e-12 9.5600e-10
1.1000e+00 1.0400e-09 2.6530e-12 1.0430e-09
1.0000e+00 1.1010e-09 2.6960e-12 1.1030e-09
9.0000e-01 1.1200e-09 2.7210e-12 1.1220e-09
8.0000e-01 1.1090e-09 2.7240e-12 1.1120e-09
7.0000e-01 1.1070e-09 2.6980e-12 1.1100e-09
6.0000e-01 1.1290e-09 2.6360e-12 1.1320e-09
4.0000e-01 1.0330e-09 2.3590e-12 1.0350e-09
3.0000e-01 8.7370e-10 2.1050e-12 8.7580e-10
2.0000e-01 6.9470e-10 1.7130e-12 6.9640e-10
