Energy	   (a,n)	   S.F.	   tot
1.2000e+01 0.0000e+00 3.1650e-03 3.1650e-03
1.1750e+01 0.0000e+00 4.0100e-03 4.0100e-03
1.1500e+01 0.0000e+00 5.0640e-03 5.0640e-03
1.1250e+01 1.6200e-16 6.4020e-03 6.4020e-03
1.1000e+01 1.4190e-15 8.0770e-03 8.0770e-03
1.0750e+01 1.2830e+02 1.0190e-02 1.2830e+02
1.0500e+01 5.0440e+02 1.2830e-02 5.0440e+02
1.0000e+01 1.5630e+03 2.0300e-02 1.5630e+03
9.7500e+00 2.3400e+03 2.5490e-02 2.3400e+03
9.5000e+00 3.0040e+03 3.1970e-02 3.0040e+03
9.2500e+00 3.4000e+03 4.0060e-02 3.4000e+03
9.0000e+00 3.5930e+03 5.0120e-02 3.5930e+03
8.7500e+00 3.8290e+03 6.2640e-02 3.8290e+03
8.5000e+00 4.1710e+03 7.8170e-02 4.1710e+03
8.0000e+00 5.2940e+03 1.2120e-01 5.2940e+03
7.7500e+00 5.7100e+03 1.5070e-01 5.7100e+03
7.5000e+00 5.8800e+03 1.8690e-01 5.8810e+03
7.2500e+00 5.9020e+03 2.3150e-01 5.9030e+03
7.0000e+00 5.9090e+03 2.8620e-01 5.9090e+03
6.7500e+00 5.7880e+03 3.5310e-01 5.7890e+03
6.5000e+00 4.8450e+03 4.3490e-01 4.8450e+03
6.0000e+00 4.0850e+03 6.5530e-01 4.0860e+03
5.7500e+00 5.2290e+03 8.0150e-01 5.2300e+03
5.5000e+00 6.1890e+03 9.7800e-01 6.1900e+03
5.2500e+00 8.0220e+03 1.1900e+00 8.0230e+03
5.0000e+00 9.6920e+03 1.4440e+00 9.6930e+03
4.7500e+00 1.0420e+04 1.7460e+00 1.0420e+04
4.5000e+00 1.1010e+04 2.1050e+00 1.1010e+04
4.0000e+00 1.2250e+04 3.0230e+00 1.2260e+04
3.7500e+00 1.3130e+04 3.5990e+00 1.3140e+04
3.5000e+00 1.3800e+04 4.2640e+00 1.3800e+04
3.2500e+00 1.4570e+04 5.0250e+00 1.4580e+04
3.0000e+00 1.1840e+04 5.8840e+00 1.1850e+04
2.7500e+00 7.8220e+03 6.8420e+00 7.8290e+03
2.5000e+00 6.0720e+03 7.8910e+00 6.0800e+03
2.0000e+00 4.3540e+03 1.0180e+01 4.3640e+03
1.7500e+00 3.0460e+03 1.1350e+01 3.0570e+03
1.5000e+00 4.1950e+03 1.2420e+01 4.2070e+03
1.2500e+00 4.7810e+03 1.3290e+01 4.7940e+03
1.0000e+00 5.8160e+03 1.3770e+01 5.8300e+03
7.5000e-01 6.5230e+03 1.3540e+01 6.5360e+03
5.0000e-01 5.1450e+03 1.2060e+01 5.1570e+03
