x,"S(X,Z)"
0,0.0000E+00
5.00E-03,1.1000E-02
1.00E-02,4.2000E-02
1.50E-02,9.4900E-02
2.00E-02,1.6710E-01
2.50E-02,2.5820E-01
3.00E-02,3.6670E-01
4.00E-02,6.3000E-01
5.00E-02,9.4400E-01
7.00E-02,1.6691E+00
9.00E-02,2.4486E+00
1.00E-01,2.8390E+00
1.25E-01,3.7810E+00
1.50E-01,4.6590E+00
1.75E-01,5.4723E+00
2.00E-01,6.2290E+00
2.50E-01,7.6188E+00
3.00E-01,8.9120E+00
4.00E-01,1.1338E+01
5.00E-01,1.3536E+01
6.00E-01,1.5486E+01
7.00E-01,1.7215E+01
8.00E-01,1.8741E+01
9.00E-01,2.0074E+01
1.00E+00,2.1224E+01
1.25E+00,2.3430E+01
1.50E+00,2.4983E+01
2.00E+00,2.7109E+01
2.50E+00,2.8492E+01
3.00E+00,2.9377E+01
3.50E+00,2.9947E+01
4.00E+00,3.0340E+01
5.00E+00,3.0872E+01
6.00E+00,3.1236E+01
7.00E+00,3.1492E+01
8.00E+00,3.1668E+01
1.00E+01,3.1860E+01
1.50E+01,3.1982E+01
2.00E+01,3.1997E+01
5.00E+01,3.2000E+01
8.00E+01,3.2000E+01
1.00E+02,3.2000E+01
1.00E+03,3.2000E+01
1.00E+06,3.2000E+01
1.00E+09,3.2000E+01
