x,"Si S(x,Z)"
0,0
5.00E-03,9.00E-03
1.00E-02,3.50E-02
1.50E-02,7.90E-02
2.00E-02,1.39E-01
2.50E-02,2.15E-01
3.00E-02,3.05E-01
4.00E-02,5.23E-01
5.00E-02,7.82E-01
7.00E-02,1.37E+00
9.00E-02,1.99E+00
1.00E-01,2.29E+00
1.25E-01,2.99E+00
1.50E-01,3.59E+00
1.75E-01,4.09E+00
2.00E-01,4.52E+00
2.50E-01,5.22E+00
3.00E-01,5.81E+00
4.00E-01,6.90E+00
5.00E-01,7.94E+00
6.00E-01,8.87E+00
7.00E-01,9.67E+00
8.00E-01,1.03E+01
9.00E-01,1.09E+01
1.00E+00,1.13E+01
1.25E+00,1.20E+01
1.50E+00,1.24E+01
2.00E+00,1.28E+01
2.50E+00,1.33E+01
3.00E+00,1.36E+01
3.50E+00,1.37E+01
4.00E+00,1.38E+01
5.00E+00,1.39E+01
6.00E+00,1.40E+01
7.00E+00,1.40E+01
8.00E+00,1.40E+01
1.00E+01,1.40E+01
1.50E+01,1.40E+01
2.00E+01,1.40E+01
5.00E+01,1.40E+01
8.00E+01,1.40E+01
1.00E+02,1.40E+01
1.00E+03,1.40E+01
1.00E+06,1.40E+01
1.00E+09,1.40E+01
