#ZVView-data-copy:  30-Jul-2024 17:06:32
#=======================================
#
#name:   ENDF/B-VIII.0: GE-74(N,EL)GE-74-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1455
#data...
#            X            Y
#          MeV        barns
         1e-11      47.9897 
   1.10304e-11      45.7382 
    1.2209e-11       43.523 
    1.3467e-11      41.4898 
   1.48546e-11      39.5564 
   1.63852e-11       37.718 
   1.80735e-11      35.9703 
   1.99357e-11       34.309 
   2.19899e-11      32.7301 
   2.42556e-11      31.2299 
   2.67548e-11      29.8047 
   2.97198e-11      28.3567 
   3.30116e-11      26.9875 
   3.66699e-11       25.692 
   4.07316e-11      24.4678 
   4.52454e-11      23.3104 
   5.02569e-11      22.2175 
   5.58263e-11      21.1852 
   6.20098e-11      20.2116 
   6.88816e-11      19.2928 
   7.65111e-11      18.4272 
   8.49899e-11      17.6116 
   9.44037e-11      16.8442 
   1.04866e-10      16.1223 
   1.16481e-10      15.4443 
   1.29389e-10      14.8076 
   1.44735e-10      14.1724 
     1.619e-10      13.5801 
   1.81101e-10      13.0287 
   2.02579e-10      12.5162 
   2.26605e-10      12.0406 
   2.55255e-10      11.5737 
   2.87542e-10       11.144 
   3.23897e-10      10.7499 
   3.67422e-10      10.3689 
   4.16797e-10      10.0229 
   4.72806e-10      9.70963 
   5.40125e-10      9.41206 
   6.21352e-10      9.13284 
   7.19799e-10      8.87403 
   8.39728e-10      8.63702 
    9.8655e-10      8.42266 
    1.16716e-9      8.23119 
    1.40032e-9      8.05597 
    1.70375e-9      7.89916 
    2.11691e-9      7.75766 
    2.68618e-9       7.6339 
    3.53012e-9      7.52386 
    4.83811e-9      7.42917 
    7.01326e-9       7.3499 
    1.10573e-8      7.28541 
    1.97769e-8      7.23609 
    2.52855e-8      7.22245 
       2.53e-8      7.22243 
    6.65176e-8      7.19203 
    4.63044e-7        7.175 
   0.000121372      6.85833 
   0.000271629      6.52201 
   0.000443534      6.19163 
   0.000643297      5.86062 
   0.000885708       5.5104 
    0.00121085      5.09276 
    0.00171294      4.47317 
    0.00191444      4.19843 
    0.00205928      3.97496 
     0.0021716      3.77538 
    0.00225896      3.59622 
    0.00233384      3.41734 
    0.00239208      3.25587 
      0.002442      3.09547 
     0.0024836       2.9411 
    0.00251688      2.79985 
    0.00254184      2.68084 
     0.0025668      2.54797 
    0.00259176      2.39815 
     0.0026084      2.28688 
    0.00262504      2.16475 
    0.00264168      2.02994 
    0.00265416      1.91932 
    0.00266664      1.79909 
    0.00267912       1.6681 
    0.00268848      1.56195 
    0.00269784      1.44831 
     0.0027072      1.32652 
    0.00271656      1.19593 
    0.00272592      1.05597 
    0.00273372     0.932007 
    0.00274152      0.80146 
    0.00274932     0.665002 
    0.00275842     0.500087 
    0.00276752     0.333993 
    0.00277142     0.264759 
    0.00277415     0.217935 
     0.0027761     0.185656 
    0.00277792     0.156646 
    0.00277948     0.132873 
    0.00278078      0.11396 
    0.00278182    0.0994897 
    0.00278279    0.0865214 
    0.00278357    0.0766067 
    0.00278442    0.0663684 
    0.00278507    0.0588744 
    0.00278572    0.0517347 
    0.00278635    0.0451352 
    0.00278692    0.0395349 
    0.00278738     0.035286 
    0.00278783    0.0312528 
    0.00278822    0.0279745 
    0.00278863    0.0247421 
    0.00278895    0.0222951 
    0.00278928    0.0199757 
    0.00278962    0.0176817 
    0.00278988     0.016034 
    0.00279014    0.0144751 
     0.0027904    0.0130073 
    0.00279059    0.0119674 
    0.00279079     0.010981 
    0.00279099    0.0100488 
    0.00279118   0.00917213 
    0.00279134   0.00848447 
    0.00279151   0.00783657 
    0.00279167   0.00722898 
    0.00279183   0.00666235 
    0.00279198   0.00618785 
    0.00279212   0.00574748 
    0.00279227   0.00534167 
    0.00279241   0.00497093 
    0.00279256   0.00463567 
    0.00279267   0.00440782 
    0.00279278   0.00420044 
    0.00279289   0.00401371 
      0.002793   0.00384786 
    0.00279312   0.00368829 
    0.00279324   0.00355505 
    0.00279337   0.00344842 
    0.00279349   0.00336872 
    0.00279361   0.00331622 
    0.00279371   0.00329403 
    0.00279376   0.00328928 
    0.00279388   0.00329806 
    0.00279398   0.00332743 
    0.00279408   0.00337738 
    0.00279419    0.0034481 
    0.00279429   0.00353979 
     0.0027944   0.00365265 
     0.0027945    0.0037926 
    0.00279461   0.00395918 
    0.00279472   0.00415018 
    0.00279483   0.00436592 
    0.00279494   0.00460657 
    0.00279502   0.00478098 
    0.00279514   0.00511898 
    0.00279527   0.00549302 
     0.0027954   0.00590358 
    0.00279553   0.00635106 
    0.00279568   0.00689924 
    0.00279583   0.00749534 
    0.00279597   0.00814009 
    0.00279612   0.00883406 
    0.00279628   0.00966385 
    0.00279645    0.0105562 
    0.00279661    0.0115121 
    0.00279677    0.0125325 
    0.00279697    0.0138435 
    0.00279716    0.0152505 
    0.00279735    0.0167553 
    0.00279755    0.0183596 
    0.00279778    0.0203596 
    0.00279801    0.0225004 
    0.00279823    0.0247852 
    0.00279846    0.0272168 
    0.00279872    0.0301799 
    0.00279898    0.0333438 
    0.00279924    0.0367134 
     0.0027995    0.0402938 
    0.00279974    0.0438469 
    0.00280007    0.0488871 
    0.00280039    0.0542835 
    0.00280072    0.0600471 
      0.002801    0.0652435 
    0.00280129    0.0710521 
    0.00280168    0.0793019 
    0.00280207     0.088149 
    0.00280248    0.0982694 
    0.00280285       0.1079 
    0.00280322     0.118133 
     0.0028036     0.128991 
    0.00280397     0.140495 
    0.00280434      0.15267 
    0.00280473     0.166237 
    0.00280512     0.180603 
    0.00280564     0.201055 
    0.00280616     0.223059 
    0.00280657     0.241836 
    0.00280704     0.264265 
    0.00280751     0.288139 
    0.00280798     0.313529 
    0.00280844     0.340505 
    0.00280891     0.369146 
    0.00280938     0.399532 
       0.00281     0.442909 
    0.00281063     0.489755 
    0.00281125     0.540301 
    0.00281177     0.585429 
    0.00281232     0.635933 
    0.00281286     0.689818 
    0.00281341      0.74729 
    0.00281396     0.808563 
    0.00281453     0.877084 
    0.00281515      0.95722 
    0.00281578      1.04336 
     0.0028164      1.13595 
    0.00281702      1.23544 
    0.00281765      1.34235 
    0.00281827      1.45724 
     0.0028189      1.58069 
    0.00281952      1.71337 
    0.00282014      1.85598 
    0.00282077       2.0093 
    0.00282139      2.17418 
    0.00282202      2.35154 
    0.00282264       2.5424 
    0.00282326      2.74789 
    0.00282389       2.9692 
    0.00282451      3.20769 
    0.00282514      3.46484 
    0.00282576      3.74229 
    0.00282638      4.04182 
    0.00282701      4.36545 
    0.00282763      4.71538 
    0.00282826      5.09409 
    0.00282888      5.50428 
     0.0028295      5.94903 
    0.00283013      6.43172 
    0.00283075       6.9562 
    0.00283138      7.52673 
      0.002832      8.14813 
    0.00283262      8.82582 
    0.00283325      9.56597 
    0.00283387      10.3755 
     0.0028345      11.2623 
    0.00283512      12.2354 
    0.00283574      13.3051 
    0.00283637      14.4831 
    0.00283699       15.783 
    0.00283762      17.2204 
    0.00283816       18.605 
    0.00283871      20.1227 
    0.00283925      21.7894 
     0.0028398      23.6235 
    0.00284035      25.6463 
    0.00284078      27.3946 
    0.00284128      29.6009 
    0.00284178       32.028 
