#ZVView-data-copy:  30-Jul-2024 17:25:51
#=======================================
#
#name:   ENDF/B-VIII.0: SI-29(N,EL)SI-29-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4205
#data...
#            X            Y
#          MeV        barns
         1e-11      27.4478 
   1.10304e-11      26.1446 
   1.21669e-11      24.9042 
   1.34206e-11      23.7237 
   1.48034e-11      22.6002 
   1.64027e-11      21.4831 
   1.80927e-11      20.4681 
    1.9957e-11      19.5023 
   2.20133e-11      18.5833 
   2.42815e-11      17.7091 
   2.67833e-11      16.8775 
    2.9543e-11      16.0864 
    3.2587e-11       15.334 
   3.59447e-11      14.6185 
   3.96483e-11      13.9381 
   4.37336e-11      13.2912 
   4.82398e-11      12.6762 
   5.32102e-11      12.0918 
   5.86928e-11      11.5363 
   6.47404e-11      11.0086 
   7.19148e-11      10.4723 
   7.98803e-11      9.96521 
   8.87325e-11      9.48529 
   9.85608e-11      9.03172 
   1.09484e-10      8.60277 
    1.2161e-10      8.19772 
   1.35087e-10      7.81498 
   1.50049e-10       7.4539 
   1.66678e-10      7.11306 
   1.85139e-10      6.79187 
   2.05656e-10      6.48908 
   2.28434e-10      6.20413 
    2.5375e-10      5.93592 
   2.81855e-10      5.68392 
    3.1309e-10      5.44716 
   3.47769e-10      5.22515 
   3.89014e-10      5.00367 
    4.3515e-10      4.79731 
   4.86759e-10      4.60532 
   5.44488e-10        4.427 
   6.09063e-10      4.26166 
   6.86104e-10      4.09944 
    7.7285e-10      3.95044 
   8.70608e-10       3.8138 
   9.87601e-10      3.68189 
    1.12031e-9      3.56226 
    1.27976e-9      3.44844 
    1.46198e-9      3.34642 
    1.68184e-9      3.25085 
    1.94831e-9       3.1624 
    2.27293e-9      3.08152 
    2.67034e-9      3.00848 
    3.18133e-9      2.94084 
    3.84377e-9      2.87959 
    4.70944e-9      2.82536 
    5.89275e-9      2.77694 
     7.5829e-9      2.73397 
    1.01059e-8      2.69656 
    1.40457e-8      2.66503 
    2.09391e-8       2.6384 
     2.5299e-8      2.62904 
       2.53e-8      2.62904 
    4.36926e-8      2.61014 
    9.31022e-8      2.59634 
    3.19432e-7      2.58769 
    1.46349e-5      2.58415 
     0.0140708       2.5304 
      0.014723       2.5364 
     0.0149093       2.5493 
     0.0149938      2.56546 
     0.0150549      2.59035 
     0.0150957      2.62241 
     0.0151241      2.66095 
     0.0151408      2.69539 
     0.0151553      2.73721 
     0.0151699      2.79649 
     0.0151808      2.85887 
     0.0151881      2.91318 
     0.0151946      2.97346 
     0.0152003      3.03857 
     0.0152059      3.11899 
     0.0152116      3.21996 
     0.0152162      3.32153 
     0.0152197      3.41464 
     0.0152232      3.52514 
