Energy	   (a,n)	   S.F.	   tot
1.0000e+01 1.4160e-14 1.5760e-19 1.4160e-14
9.9000e+00 1.5640e-14 1.7790e-19 1.5640e-14
9.8000e+00 1.7210e-14 2.0190e-19 1.7210e-14
9.7000e+00 1.8860e-14 2.2890e-19 1.8860e-14
9.6000e+00 2.0570e-14 2.5750e-19 2.0570e-14
9.5000e+00 2.2330e-14 2.9220e-19 2.2330e-14
9.4000e+00 2.4940e-14 3.2910e-19 2.4940e-14
9.2000e+00 4.0410e-14 4.2070e-19 4.0420e-14
9.1000e+00 4.9960e-14 4.7530e-19 4.9960e-14
9.0000e+00 5.9900e-14 5.3640e-19 5.9900e-14
8.9000e+00 7.0570e-14 6.0470e-19 7.0580e-14
8.8000e+00 8.2830e-14 6.8340e-19 8.2830e-14
8.7000e+00 9.7150e-14 7.7060e-19 9.7160e-14
8.6000e+00 1.1140e-13 8.6890e-19 1.1140e-13
8.4000e+00 1.4760e-13 1.1040e-18 1.4760e-13
8.3000e+00 1.6670e-13 1.2440e-18 1.6670e-13
8.2000e+00 1.8790e-13 1.4020e-18 1.8790e-13
8.1000e+00 2.1080e-13 1.5780e-18 2.1080e-13
8.0000e+00 2.3440e-13 1.7770e-18 2.3440e-13
7.9000e+00 2.6030e-13 1.9990e-18 2.6030e-13
7.8000e+00 2.8690e-13 2.2500e-18 2.8690e-13
7.6000e+00 3.4580e-13 2.8440e-18 3.4580e-13
7.5000e+00 3.8280e-13 3.1960e-18 3.8280e-13
7.4000e+00 4.2960e-13 3.5920e-18 4.2960e-13
7.3000e+00 4.8080e-13 4.0320e-18 4.8080e-13
7.2000e+00 5.4370e-13 4.5280e-18 5.4370e-13
7.1000e+00 6.1310e-13 5.0810e-18 6.1310e-13
7.0000e+00 6.8250e-13 5.7010e-18 6.8250e-13
6.8000e+00 8.9170e-13 7.1650e-18 8.9180e-13
6.7000e+00 1.0090e-12 8.0290e-18 1.0090e-12
6.6000e+00 1.1310e-12 8.9930e-18 1.1310e-12
6.5000e+00 1.2650e-12 1.0070e-17 1.2650e-12
