Energy	   (a,n)	   S.F.	   tot
1.0000e+01 9.3260e-15 3.0000e-15 1.2330e-14
9.9000e+00 1.2800e-14 3.2950e-15 1.6100e-14
9.8000e+00 1.8910e-14 3.6200e-15 2.2530e-14
9.7000e+00 2.5500e-14 3.9760e-15 2.9480e-14
9.6000e+00 3.2300e-14 4.3660e-15 3.6670e-14
9.5000e+00 3.9390e-14 4.7910e-15 4.4180e-14
9.4000e+00 4.6670e-14 5.2610e-15 5.1940e-14
9.2000e+00 6.5070e-14 6.3340e-15 7.1400e-14
9.1000e+00 7.6590e-14 6.9480e-15 8.3540e-14
9.0000e+00 8.9530e-14 7.6210e-15 9.7160e-14
8.9000e+00 1.0290e-13 8.3550e-15 1.1130e-13
8.8000e+00 1.1670e-13 9.1610e-15 1.2580e-13
8.7000e+00 1.3120e-13 1.0040e-14 1.4120e-13
8.6000e+00 1.5200e-13 1.1000e-14 1.6300e-13
8.4000e+00 2.0200e-13 1.3200e-14 2.1520e-13
8.3000e+00 2.2820e-13 1.4460e-14 2.4270e-13
8.2000e+00 2.5930e-13 1.5830e-14 2.7510e-13
8.1000e+00 2.9420e-13 1.7330e-14 3.1160e-13
8.0000e+00 3.4160e-13 1.8960e-14 3.6060e-13
7.9000e+00 3.9360e-13 2.0750e-14 4.1440e-13
7.8000e+00 4.4800e-13 2.2690e-14 4.7060e-13
7.6000e+00 5.6410e-13 2.7130e-14 5.9120e-13
7.5000e+00 6.2530e-13 2.9650e-14 6.5500e-13
7.4000e+00 6.9440e-13 3.2390e-14 7.2680e-13
7.3000e+00 7.6700e-13 3.5390e-14 8.0240e-13
7.2000e+00 8.5180e-13 3.8640e-14 8.9050e-13
7.1000e+00 9.4560e-13 4.2180e-14 9.8770e-13
7.0000e+00 1.0390e-12 4.6040e-14 1.0860e-12
6.8000e+00 1.2550e-12 5.4790e-14 1.3100e-12
6.7000e+00 1.3740e-12 5.9740e-14 1.4330e-12
6.6000e+00 1.4980e-12 6.5120e-14 1.5640e-12
6.5000e+00 1.6380e-12 7.0960e-14 1.7090e-12
6.4000e+00 1.8090e-12 7.7290e-14 1.8860e-12
6.3000e+00 2.0140e-12 8.4170e-14 2.0980e-12
6.2000e+00 2.2640e-12 9.1620e-14 2.3550e-12
6.0000e+00 2.8500e-12 1.0840e-13 2.9590e-12
5.9000e+00 3.1910e-12 1.1790e-13 3.3090e-12
5.8000e+00 3.5760e-12 1.2820e-13 3.7040e-12
5.7000e+00 4.0010e-12 1.3920e-13 4.1410e-12
5.6000e+00 4.5430e-12 1.5120e-13 4.6940e-12
5.5000e+00 5.2170e-12 1.6420e-13 5.3810e-12
5.4000e+00 5.9130e-12 1.7810e-13 6.0910e-12
5.2000e+00 7.4160e-12 2.0950e-13 7.6250e-12
5.1000e+00 8.2690e-12 2.2700e-13 8.4960e-12
5.0000e+00 9.2790e-12 2.4580e-13 9.5250e-12
4.9000e+00 1.0280e-11 2.6610e-13 1.0550e-11
4.8000e+00 1.1260e-11 2.8790e-13 1.1550e-11
4.7000e+00 1.2450e-11 3.1140e-13 1.2760e-11
4.6000e+00 1.3760e-11 3.3650e-13 1.4090e-11
4.4000e+00 1.7430e-11 3.9240e-13 1.7820e-11
4.3000e+00 2.0020e-11 4.2340e-13 2.0450e-11
4.2000e+00 2.3000e-11 4.5650e-13 2.3460e-11
4.1000e+00 2.6180e-11 4.9190e-13 2.6670e-11
4.0000e+00 2.9360e-11 5.2970e-13 2.9890e-11
3.9000e+00 3.3510e-11 5.7000e-13 3.4080e-11
3.8000e+00 3.7820e-11 6.1290e-13 3.8430e-11
3.6000e+00 4.8150e-11 7.0690e-13 4.8850e-11
3.5000e+00 5.4420e-11 7.5830e-13 5.5170e-11
3.4000e+00 6.1840e-11 8.1270e-13 6.2660e-11
3.3000e+00 6.9670e-11 8.7020e-13 7.0540e-11
3.2000e+00 7.7970e-11 9.3100e-13 7.8900e-11
3.1000e+00 8.6360e-11 9.9490e-13 8.7350e-11
3.0000e+00 9.4470e-11 1.0620e-12 9.5530e-11
2.8000e+00 1.1190e-10 1.2070e-12 1.1310e-10
2.7000e+00 1.2210e-10 1.2840e-12 1.2340e-10
2.6000e+00 1.3230e-10 1.3640e-12 1.3360e-10
2.5000e+00 1.4040e-10 1.4470e-12 1.4180e-10
2.4000e+00 1.4660e-10 1.5330e-12 1.4820e-10
2.3000e+00 1.5340e-10 1.6220e-12 1.5500e-10
2.2000e+00 1.6060e-10 1.7130e-12 1.6230e-10
2.0000e+00 1.7300e-10 1.9000e-12 1.7490e-10
1.9000e+00 1.7920e-10 1.9950e-12 1.8120e-10
1.8000e+00 1.8420e-10 2.0900e-12 1.8630e-10
1.7000e+00 1.8980e-10 2.1840e-12 1.9200e-10
1.6000e+00 1.9590e-10 2.2760e-12 1.9820e-10
1.5000e+00 2.0190e-10 2.3650e-12 2.0430e-10
1.4000e+00 2.0810e-10 2.4490e-12 2.1050e-10
1.2000e+00 2.1680e-10 2.5960e-12 2.1940e-10
1.1000e+00 2.1940e-10 2.6530e-12 2.2200e-10
1.0000e+00 2.2130e-10 2.6960e-12 2.2400e-10
9.0000e-01 2.2310e-10 2.7210e-12 2.2590e-10
8.0000e-01 2.2290e-10 2.7240e-12 2.2560e-10
7.0000e-01 2.1920e-10 2.6980e-12 2.2190e-10
6.0000e-01 2.1150e-10 2.6360e-12 2.1410e-10
4.0000e-01 1.7520e-10 2.3590e-12 1.7750e-10
3.0000e-01 1.4530e-10 2.1050e-12 1.4740e-10
2.0000e-01 1.0620e-10 1.7130e-12 1.0790e-10
