 1.403000+4 2.971600+1          0          0          0          1143133102    1
 0.000000+0 0.000000+0          0        102          0          4143133102    2
 0.000000+0 0.000000+0          1          5         36          8143133102    3
 1.000000-5 5.000000-1 1.000000+3 3.500000+3 2.000000+4 5.200000+5143133102    4
 1.030000+6 1.450000+6 9.000000-4 1.500000-2 1.500000-2 0.000000+0143133102    5
 0.000000+0 0.000000+0 0.000000+0 2.500000-1 2.500000-1 0.000000+0143133102    6
 0.000000+0 0.000000+0 0.000000+0 2.500000-1 0.000000+0 0.000000+0143133102    7
 0.000000+0 0.000000+0 9.385985-3 2.328657-2 3.113034-2 3.059272-2143133102    8
 2.310952-1 1.544683-1 1.518007-1 4.129980-1 2.029327-1 3.988561-1143133102    9
 0.000000+0 0.000000+0          0          1          8          4143133102   10
 1.000000-5 0.000000+0 1.450000+6 2.500000-3 2.000000+6 1.000000-2143133102   11
 2.000000+7 0.000000+0                                            143133102   12
 0.000000+0 0.000000+0          0          1         18          9143133102   13
 1.000000-5 0.000000+0 1.450000+6 8.910000-2 1.750000+6 8.910000-2143133102   14
 3.000000+6 2.475000-1 8.000000+6 2.475000-1 1.200000+7 2.475000-1143133102   15
 1.400000+7 3.960000-2 1.500000+7 2.475000-1 2.000000+7 0.000000+0143133102   16
 0.000000+0 0.000000+0          0          8         18          9143133102   17
 1.000000-5 0.000000+0 1.450000+6 4.04010-12 1.750000+6 1.31870-12143133102   18
 3.000000+6 5.92110-12 8.000000+6 1.10250-10 1.200000+7 4.62250-10143133102   19
 1.400000+7 7.74400-11 1.500000+7 4.00000-10 2.000000+7 0.000000+0143133102   20
 0.000000+0 0.000000+0          0          0          0          0143133  099999
