x,y,low,high
0.4346,0.3048,0.2858,0.3096
1.3688,0.2282,0.2209,0.2337
2.3572,0.1974,0.1881,0.2039
3.3446,0.2227,0.2006,0.2338
4.3873,0.2264,0.2023,0.2319
5.3748,0.2473,0.2246,0.2681
6.417,0.2791,0.2555,0.2882
7.4588,0.3441,0.3279,0.3525
8.3367,0.3759,0.3554,0.3881
9.3792,0.401,0.3883,0.4208
10.4213,0.4672,0.4524,0.4787
11.4634,0.5533,0.5358,0.5714
12.3408,0.6604,0.6447,0.6932
13.4376,0.8143,0.7821,0.8409
14.4803,0.8209,0.7949,0.8755
15.4682,0.8079,0.776,0.841
16.511,0.795,0.7637,0.8277
17.3896,0.6989,0.6715,0.7161
18.4876,0.6399,0.6196,0.6661
19.4759,0.581,0.5535,0.6147
20.5192,0.4828,0.4676,0.5027
21.4527,0.428,0.4676,0.4385
22.4959,0.3918,0.4111,0.4144
23.4293,0.3558,0.3764,0.3674
24.4722,0.3363,0.3417,0.3473
25.5154,0.2957,0.3179,0.3029
26.4487,0.2818,0.284,0.2934
27.4367,0.2664,0.2729,0.2796
28.4799,0.2399,0.2579,0.2518
29.523,0.2196,0.2323,0.2287
30.4565,0.1916,0.2127,0.1994
31.499,0.1995,0.1855,0.2093
32.4868,0.2043,0.187,0.2162
33.5299,0.1916,0.1901,0.2027
34.4082,0.1811,0.1797,0.1932
35.2859,0.1995,0.1645,0.2111
36.3293,0.1685,0.1811,0.1768
37.3175,0.1555,0.158,0.1658
38.3606,0.1423,0.1446,0.1494
39.4033,0.1447,0.1345,0.1568
40.3914,0.1356,0.1345,0.1424
41.4341,0.1368,0.1252,0.1494
42.3675,0.1222,0.1242,0.1335
43.4101,0.1282,0.1109,0.1379
44.3982,0.1193,0.1183,0.1335
45.4964,0.1049,0.1092,0.1146
46.3746,0.1016,0.0999,0.1075
47.4174,0.1,0.0968,0.1101
,,0.0968,
