#ZVView-data-copy:  30-Sep-2024 23:57:09
#=======================================
#
#name:   ENDF/B-VIII.0: CA-40(N,EL)CA-40-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  18288
#data...
#            X            Y
#          MeV        barns
         1e-11      23.8196 
   1.10304e-11      22.6919 
   1.21669e-11      21.6188 
   1.34206e-11      20.5977 
   1.48034e-11      19.6261 
   1.63287e-11      18.7017 
   1.80111e-11      17.8222 
   1.98669e-11      16.9856 
   2.19139e-11      16.1899 
   2.41719e-11       15.433 
   2.66625e-11      14.7133 
   2.94097e-11      14.0289 
     3.244e-11      13.3783 
   3.57825e-11      12.7597 
   3.94694e-11      12.1719 
   4.35362e-11      11.6133 
   4.80221e-11      11.0826 
   5.32208e-11      10.5549 
   5.91186e-11      10.0441 
   6.56668e-11      9.56118 
   7.29439e-11      9.10439 
   8.10233e-11      8.67286 
   9.00022e-11      8.26499 
   9.99711e-11      7.88001 
    1.1105e-10      7.51646 
    1.2335e-10      7.17372 
    1.3702e-10      6.85042 
   1.52196e-10      6.54601 
   1.69063e-10      6.25928 
   1.87788e-10       5.9897 
   2.08599e-10      5.73622 
   2.31703e-10      5.49835 
   2.59183e-10      5.26081 
   2.89922e-10      5.03925 
   3.24306e-10      4.83289 
   3.62769e-10      4.64097 
   4.05792e-10       4.4628 
   4.53919e-10      4.29766 
   5.11335e-10      4.13573 
   5.75985e-10      3.98708 
   6.48842e-10      3.85083 
   7.36033e-10      3.71937 
   8.34941e-10      3.60024 
   9.53775e-10      3.48697 
    1.08958e-9      3.38552 
    1.25343e-9      3.29054 
    1.45203e-9      3.20271 
    1.69396e-9      3.12246 
    2.00407e-9      3.04713 
    2.38769e-9      2.98052 
    2.88473e-9      2.92028 
    3.55934e-9      2.86528 
    4.48509e-9      2.81668 
    5.81192e-9      2.77401 
    7.79992e-9      2.73724 
    1.09943e-8      2.70601 
    1.66204e-8       2.6802 
    2.51255e-8      2.66312 
       2.53e-8      2.66289 
    4.88745e-8       2.6469 
     1.3215e-7      2.63608 
    1.03624e-6      2.63044 
    0.00136528      2.47952 
    0.00287545      2.33157 
    0.00288069      2.33369 
    0.00293123      2.32636 
    0.00460999      2.18123 
     0.0063886      2.04543 
    0.00694648      2.00619 
    0.00695165      2.01098 
    0.00695684      2.03263 
     0.0069572      2.03282 
    0.00695973      2.02477 
    0.00696351      2.00856 
    0.00697366      2.00438 
    0.00885499      1.88204 
      0.010672       1.7774 
     0.0107356      1.77561 
     0.0107784       1.7791 
     0.0107976      1.78858 
     0.0108064      1.80005 
     0.0108123      1.81543 
     0.0108169      1.83687 
       0.01082      1.86082 
     0.0108221       1.8858 
     0.0108238      1.91541 
     0.0108249      1.94296 
     0.0108261      1.98129 
     0.0108268      2.01666 
     0.0108276      2.06466 
     0.0108282      2.11299 
     0.0108288      2.17649 
     0.0108291      2.23008 
     0.0108295      2.29346 
     0.0108299      2.37028 
     0.0108303      2.46352 
     0.0108305      2.54627 
     0.0108308      2.64182 
     0.0108311      2.75201 
     0.0108314      2.87874 
     0.0108316      3.02434 
     0.0108319      3.19092 
     0.0108321      3.31483 
     0.0108324      3.52322 
     0.0108326       3.6978 
     0.0108328      3.88924 
      0.010833      4.09875 
     0.0108332      4.32726 
     0.0108335      4.57628 
     0.0108337      4.84641 
     0.0108338      5.03871 
     0.0108341      5.45425 
     0.0108344       5.9121 
     0.0108347      6.43574 
     0.0108349      7.00781 
     0.0108352        7.629 
     0.0108355      8.29861 
     0.0108358      9.01558 
     0.0108362      10.0769 
     0.0108367       11.375 
     0.0108371      12.7486 
     0.0108386      17.1078 
     0.0108391      18.6958 
     0.0108395      19.7042 
     0.0108399      20.5714 
     0.0108401       21.071 
     0.0108405      21.7414 
     0.0108408      22.1842 
     0.0108411      22.4491 
     0.0108414      22.6071 
     0.0108417       22.645 
     0.0108419      22.6113 
     0.0108422      22.4587 
     0.0108425      22.1991 
     0.0108428      21.8329 
     0.0108432        21.19 
     0.0108436       20.442 
     0.0108439      19.5418 
     0.0108444      18.3297 
      0.010845      16.6006 
     0.0108463      12.3419 
     0.0108468       10.992 
     0.0108471      10.1368 
     0.0108475      9.07549 
     0.0108478       8.3584 
     0.0108481      7.68807 
     0.0108484      7.06627 
     0.0108487      6.49325 
      0.010849      5.96901 
     0.0108493      5.50967 
     0.0108495      5.09289 
     0.0108497      4.80685 
       0.01085      4.54291 
     0.0108502      4.29981 
     0.0108504      4.07661 
     0.0108506       3.8721 
     0.0108508      3.68533 
     0.0108511      3.46183 
     0.0108513      3.29643 
     0.0108516       3.1208 
     0.0108519      2.96704 
     0.0108522      2.83287 
     0.0108524      2.71604 
     0.0108527      2.61458 
      0.010853      2.52649 
     0.0108533      2.45018 
     0.0108536      2.36405 
      0.010854      2.29289 
     0.0108544       2.2333 
     0.0108548      2.18335 
     0.0108554      2.12375 
     0.0108557      2.09194 
     0.0108565      2.04204 
     0.0108573      2.00502 
     0.0108582      1.96976 
     0.0108592      1.94313 
     0.0108612      1.90509 
     0.0108625      1.88673 
     0.0108655      1.85626 
     0.0108701      1.82896 
     0.0108747      1.81265 
     0.0108839      1.79461 
     0.0108992      1.78105 
     0.0109371      1.76928 
     0.0110937      1.75561 
     0.0128231       1.6664 
     0.0150704      1.56396 
      0.017487      1.46636 
     0.0193152      1.40015 
     0.0193229      1.40164 
     0.0193258      1.40815 
     0.0193271      1.41629 
     0.0193285      1.43066 
     0.0193299      1.45404 
     0.0193311      1.48589 
     0.0193323      1.52467 
     0.0193336      1.57633 
     0.0193366      1.71377 
     0.0193376      1.74997 
     0.0193386      1.77693 
     0.0193396      1.78968 
     0.0193399      1.79101 
     0.0193409      1.78479 
     0.0193419       1.7647 
     0.0193428      1.73689 
     0.0193441      1.68243 
     0.0193468      1.56232 
     0.0193479      1.52018 
      0.019349      1.48557 
       0.01935      1.46029 
      0.019351      1.44141 
     0.0193524      1.42445 
     0.0193545       1.4111 
     0.0193571      1.40481 
     0.0193688       1.4008 
     0.0197746       1.3872 
     0.0199855      1.38407 
     0.0201299      1.38817 
      0.020188        1.395 
     0.0202375      1.40776 
     0.0202672      1.42218 
     0.0202856        1.436 
      0.020304       1.4563 
     0.0203182      1.47903 
     0.0203288      1.50246 
     0.0203394      1.53417 
     0.0203465      1.56196 
     0.0203536      1.59728 
     0.0203606      1.64308 
      0.020366      1.68701 
     0.0203713      1.74234 
     0.0203748      1.78761 
     0.0203783      1.84158 
     0.0203819      1.90665 
     0.0203845      1.96467 
     0.0203872       2.0326 
     0.0203897      2.10706 
     0.0203918      2.18137 
     0.0203939      2.26756 
      0.020396      2.36834 
     0.0203982      2.48729 
     0.0203996      2.57896 
     0.0204013      2.71057 
     0.0204029      2.84869 
     0.0204045      3.00982 
     0.0204056      3.13276 
     0.0204066      3.27051 
     0.0204077      3.42569 
     0.0204088      3.60151 
     0.0204098       3.8021 
     0.0204109      4.03258 
     0.0204116      4.20611 
     0.0204123      4.39843 
      0.020413       4.6125 
     0.0204137      4.85205 
     0.0204144      5.12156 
     0.0204151      5.42669 
     0.0204157      5.68296 
     0.0204162      5.96653 
     0.0204167      6.28154 
     0.0204173      6.63266 
     0.0204178      7.02576 
     0.0204183      7.46708 
     0.0204189      7.96433 
     0.0204194       8.5261 
     0.0204197      8.94142 
     0.0204202      9.56412 
     0.0204206      10.1094 
      0.020421      10.7072 
     0.0204214      11.3625 
     0.0204217      12.0809 
     0.0204221      12.8682 
     0.0204225      13.7313 
     0.0204229      14.6758 
     0.0204233      15.7088 
     0.0204236      16.8368 
      0.020424      18.0669 
     0.0204243      19.1603 
     0.0204247       20.562 
     0.0204251      22.0786 
     0.0204254      23.7153 
     0.0204258      25.4769 
     0.0204262       27.367 
     0.0204266      29.3884 
     0.0204269      31.5424 
     0.0204274      34.4507 
     0.0204278       37.265 
     0.0204284      41.2726 
      0.020429      45.5508 
     0.0204296      50.7595 
     0.0204305      58.3846 
      0.020432      71.0451 
     0.0204328      77.5558 
     0.0204335      82.7077 
     0.0204341      87.2837 
     0.0204346      90.2427 
     0.0204352      92.7265 
     0.0204357      94.7581 
     0.0204363      96.2574 
     0.0204368      96.9824 
     0.0204371      97.0502 
     0.0204376      96.7047 
     0.0204382      95.6764 
     0.0204387      94.0164 
     0.0204392      91.7557 
     0.0204397      88.9871 
     0.0204403      85.8389 
     0.0204409      81.0555 
     0.0204416      75.7526 
     0.0204427      66.7096 
     0.0204441      54.3159 
     0.0204449      48.0367 
     0.0204454      44.0567 
     0.0204461      39.2684 
     0.0204466      35.4072 
      0.020447      32.7089 
     0.0204475      30.1823 
     0.0204479      27.8301 
     0.0204482      26.3579 
     0.0204486      24.3639 
      0.020449      22.5229 
     0.0204494      20.8283 
     0.0204498      19.2741 
     0.0204502      17.8517 
     0.0204506       16.554 
      0.020451       15.372 
     0.0204514      14.2977 
     0.0204519       13.331 
     0.0204523      12.4539 
     0.0204527      11.6583 
     0.0204531      10.9371 
     0.0204535       10.283 
     0.0204539      9.68986 
     0.0204543      9.15157 
     0.0204547      8.66286 
     0.0204551      8.21831 
     0.0204555       7.8137 
     0.0204559      7.40825 
     0.0204565      6.97615 
      0.020457      6.59099 
     0.0204575      6.24654 
     0.0204581       5.9373 
     0.0204586      5.65871 
     0.0204593      5.32797 
       0.02046      5.03684 
     0.0204607      4.77895 
     0.0204614      4.54921 
     0.0204621      4.34338 
     0.0204628      4.15812 
     0.0204639      3.91275 
      0.020465      3.69989 
      0.020466      3.51376 
     0.0204671      3.34988 
     0.0204683      3.18095 
     0.0204696      3.03333 
     0.0204708      2.90346 
     0.0204721      2.78853 
     0.0204733      2.68626 
     0.0204752       2.5527 
     0.0204771       2.4387 
     0.0204786      2.35648 
     0.0204809      2.24999 
     0.0204833      2.15992 
     0.0204856      2.08301 
     0.0204879      2.01679 
     0.0204912      1.93703 
     0.0204948      1.86707 
     0.0204983      1.80918 
     0.0205018       1.7607 
     0.0205059      1.71409 
     0.0205105       1.6706 
     0.0205174      1.61899 
      0.020522      1.59138 
     0.0205291      1.55671 
     0.0205397      1.51753 
     0.0205503      1.48881 
     0.0205645      1.46101 
     0.0205786      1.44102 
     0.0205984      1.42119 
     0.0206183      1.40728 
     0.0206579      1.38933 
     0.0207202      1.37381 
     0.0208221      1.36081 
     0.0210486       1.3465 
     0.0218952      1.31577 
     0.0244004      1.24101 
     0.0273896      1.16193 
     0.0305823      1.08649 
     0.0340297      1.01381 
     0.0344444      1.00654 
     0.0344926      1.00893 
     0.0345065      1.01407 
     0.0345111      1.01973 
     0.0345136      1.02824 
     0.0345149      1.03666 
     0.0345161      1.05051 
     0.0345171      1.06651 
     0.0345181      1.08959 
     0.0345187      1.11025 
     0.0345193      1.13628 
       0.03452      1.16886 
     0.0345206      1.20931 
     0.0345211      1.24571 
     0.0345215      1.28354 
      0.034522      1.33888 
     0.0345226      1.40382 
     0.0345231      1.47951 
     0.0345235      1.54405 
     0.0345239      1.61577 
     0.0345243      1.69517 
     0.0345248      1.78268 
     0.0345252      1.87875 
     0.0345256      1.98369 
      0.034526      2.11908 
     0.0345265      2.26762 
      0.034527      2.42961 
     0.0345275      2.60508 
     0.0345279      2.79395 
     0.0345284       2.9958 
     0.0345291      3.28403 
     0.0345297      3.59197 
     0.0345307      4.08371 
     0.0345329      5.32164 
     0.0345339       5.7986 
     0.0345348      6.20794 
     0.0345355      6.49086 
      0.034536      6.66885 
     0.0345365      6.82422 
      0.034537      6.93627 
     0.0345376      7.03923 
     0.0345383      7.08996 
     0.0345385      7.09534 
     0.0345392      7.07024 
     0.0345397      7.00789 
     0.0345403       6.8975 
     0.0345408      6.76781 
     0.0345415      6.52637 
     0.0345422      6.24746 
     0.0345431      5.85514 
      0.034544      5.38711 
     0.0345464      4.08214 
     0.0345474      3.59042 
      0.034548      3.28259 
     0.0345487      2.99449 
     0.0345493      2.72832 
     0.0345498      2.54394 
     0.0345502      2.37305 
     0.0345507       2.2156 
     0.0345512      2.07157 
     0.0345517      1.94682 
     0.0345521       1.8449 
     0.0345525      1.75176 
     0.0345529      1.66703 
     0.0345533      1.59026 
     0.0345537      1.52103 
     0.0345541      1.45878 
     0.0345545      1.40309 
      0.034555      1.33816 
     0.0345556      1.28283 
     0.0345562      1.23222 
     0.0345568      1.18726 
     0.0345574       1.1509 
     0.0345581      1.12172 
     0.0345587      1.09848 
     0.0345597      1.07242 
     0.0345606      1.05428 
     0.0345616      1.04176 
     0.0345628      1.03091 
     0.0345647      1.02195 
     0.0345683      1.01493 
     0.0345752      1.01002 
     0.0345958      1.00526 
     0.0347162      1.00049 
     0.0381594       0.9363 
     0.0418739     0.874024 
      0.041978     0.873048 
       0.04203     0.874553 
     0.0420511     0.878831 
     0.0420603     0.884896 
     0.0420647     0.891825 
     0.0420673     0.899937 
     0.0420696     0.912567 
     0.0420712      0.92606 
     0.0420723     0.940205 
     0.0420735     0.958982 
     0.0420747     0.985782 
     0.0420756      1.01142 
     0.0420766      1.04268 
     0.0420775      1.08031 
     0.0420784      1.12503 
     0.0420795      1.18505 
     0.0420805      1.25535 
     0.0420816      1.33591 
     0.0420827      1.42603 
     0.0420837      1.52429 
     0.0420859        1.747 
     0.0420874      1.88915 
     0.0420882      1.96413 
     0.0420893      2.05812 
     0.0420901      2.11754 
     0.0420909      2.16247 
     0.0420918      2.19965 
     0.0420927      2.22013 
     0.0420934      2.22448 
     0.0420941      2.21803 
      0.042095      2.19597 
     0.0420959       2.1539 
     0.0420968      2.10292 
     0.0420976      2.04076 
     0.0420988      1.94398 
     0.0421001      1.81854 
     0.0421025      1.57008 
     0.0421039      1.43908 
      0.042105      1.34776 
      0.042106      1.26585 
     0.0421071      1.19413 
     0.0421081      1.13272 
     0.0421091      1.08316 
     0.0421101      1.04529 
      0.042111      1.01376 
     0.0421119     0.987819 
     0.0421131     0.960615 
     0.0421141     0.943462 
     0.0421153     0.928042 
     0.0421169     0.913434 
     0.0421193     0.899907 
     0.0421218     0.891711 
     0.0421271     0.883406 
      0.042137      0.87714 
     0.0421581     0.872519 
     0.0422453     0.868443 
     0.0456404     0.815984 
       0.04621     0.807643 
     0.0462238     0.809431 
     0.0462362     0.814546 
     0.0462547     0.807583 
     0.0497467     0.758131 
     0.0524609     0.721109 
     0.0525529     0.717851 
     0.0525579     0.718827 
     0.0525613     0.722587 
     0.0525638     0.730316 
     0.0525654     0.740033 
     0.0525669     0.753643 
     0.0525681     0.768506 
     0.0525693     0.788055 
     0.0525705     0.813171 
     0.0525713      0.83616 
     0.0525725     0.871465 
     0.0525733     0.902024 
     0.0525741     0.936424 
     0.0525754     0.995099 
     0.0525766      1.06158 
     0.0525783      1.15968 
      0.052581       1.3248 
     0.0525825       1.4123 
     0.0525837      1.47278 
     0.0525846      1.50846 
     0.0525856      1.54075 
     0.0525866      1.56244 
     0.0525876      1.57141 
     0.0525879      1.57188 
     0.0525888      1.56579 
     0.0525898      1.54929 
     0.0525908      1.52078 
     0.0525917       1.4869 
     0.0525926      1.44519 
     0.0525936      1.38948 
     0.0525953      1.29213 
     0.0525981      1.12155 
     0.0525994      1.05216 
     0.0526006     0.989481 
     0.0526019     0.934653 
     0.0526027     0.902717 
     0.0526036     0.874463 
     0.0526046     0.844133 
     0.0526055     0.821265 
     0.0526065     0.802208 
     0.0526077     0.781989 
      0.052609     0.766753 
     0.0526106     0.752472 
     0.0526123     0.743212 
     0.0526148     0.735265 
      0.052619     0.729723 
     0.0526277     0.726285 
     0.0526597      0.72271 
     0.0528391     0.718271 
     0.0566021     0.670807 
     0.0626063     0.600458 
       0.06262     0.601444 
     0.0626259     0.604554 
     0.0626387     0.618629 
     0.0626418     0.619787 
     0.0626463     0.617635 
     0.0626574     0.604972 
      0.062663     0.601645 
     0.0626761     0.599998 
     0.0655449     0.567346 
     0.0655584     0.568344 
     0.0655656     0.571937 
     0.0655763     0.579972 
      0.065579     0.580533 
     0.0655851     0.577999 
     0.0655948     0.570374 
     0.0656027     0.567613 
     0.0657002     0.565707 
      0.073716     0.475239 
     0.0768524     0.437097 
      0.079022     0.407992 
     0.0804272     0.386816 
     0.0815514     0.367883 
     0.0825357     0.348895 
     0.0828338     0.342615 
     0.0828469     0.343578 
     0.0828632     0.348077 
     0.0828649     0.348166 
     0.0828725     0.346665 
     0.0828855     0.342364 
     0.0829003      0.34111 
     0.0835915     0.324603 
     0.0841287     0.309731 
     0.0845178     0.297059 
     0.0847252     0.288933 
     0.0848385     0.283438 
     0.0849209     0.278253 
     0.0849853     0.273694 
     0.0849901     0.273623 
     0.0850018     0.274478 
     0.0850069     0.275889 
     0.0850111      0.27825 
     0.0850135     0.280723 
     0.0850159     0.284785 
     0.0850177      0.28963 
     0.0850189     0.294198 
     0.0850202      0.30028 
     0.0850214     0.308394 
     0.0850223     0.316213 
     0.0850232     0.325902 
     0.0850241     0.337886 
      0.085025     0.352658 
     0.0850256     0.364338 
     0.0850262     0.377709 
     0.0850268      0.39298 
     0.0850275     0.410384 
     0.0850281     0.430168 
     0.0850287     0.452015 
     0.0850292     0.476644 
     0.0850298     0.504342 
     0.0850304     0.535401 
      0.085031     0.570138 
     0.0850316     0.608867 
     0.0850322     0.651924 
     0.0850328     0.699627 
     0.0850334      0.75234 
      0.085034     0.810368 
     0.0850344     0.852169 
      0.085035     0.921628 
     0.0850356     0.997575 
     0.0850362      1.08033 
     0.0850368      1.17014 
     0.0850374      1.26728 
      0.085038      1.37189 
     0.0850386      1.48412 
     0.0850392      1.60402 
       0.08504      1.77307 
     0.0850408       1.9551 
     0.0850416      2.14966 
     0.0850424      2.35596 
     0.0850435      2.64747 
     0.0850448      3.02036 
     0.0850484      4.11334 
     0.0850498        4.536 
     0.0850512      4.88391 
     0.0850522      5.12427 
     0.0850532      5.33719 
      0.085054      5.47511 
      0.085055      5.60427 
      0.085056      5.69251 
      0.085057      5.73757 
     0.0850575      5.74391 
     0.0850584      5.72391 
     0.0850592      5.67655 
     0.0850602      5.57464 
     0.0850611      5.45164 
     0.0850619      5.30996 
     0.0850629      5.10657 
     0.0850638      4.87828 
     0.0850648      4.62656 
     0.0850663      4.21682 
       0.08507      3.10996 
     0.0850714       2.7108 
     0.0850723      2.45902 
     0.0850733      2.22142 
     0.0850742      2.00511 
     0.0850751      1.80484 
     0.0850757      1.68052 
     0.0850763      1.56362 
     0.0850769      1.45416 
     0.0850775      1.35205 
     0.0850781      1.25716 
     0.0850787      1.16928 
     0.0850793       1.0882 
       0.08508      1.01365 
     0.0850806     0.945342 
     0.0850812     0.882931 
     0.0850818     0.826109 
     0.0850824     0.774517 
      0.085083     0.727819 
     0.0850836     0.687654 
     0.0850841     0.651299 
     0.0850847     0.618456 
     0.0850853     0.588856 
     0.0850859     0.562218 
     0.0850865     0.538297 
      0.085087     0.516843 
     0.0850876     0.497634 
     0.0850885     0.472549 
     0.0850893     0.451371 
     0.0850902     0.433507 
     0.0850911     0.418443 
     0.0850919     0.405726 
     0.0850928     0.394972 
      0.085094     0.383124 
     0.0850951     0.373542 
     0.0850969     0.362334 
     0.0850986     0.353831 
     0.0851003     0.347179 
     0.0851028     0.339669 
     0.0851056       0.3334 
     0.0851097     0.326209 
     0.0851144     0.319926 
     0.0851205     0.313886 
     0.0851285     0.307934 
       0.08514      0.30191 
     0.0851514     0.297604 
     0.0851704     0.292582 
     0.0851996      0.28744 
     0.0852455     0.282181 
     0.0853097     0.277076 
     0.0854336     0.269614 
     0.0859307     0.243285 
     0.0861709     0.229245 
      0.086411     0.213557 
     0.0866112     0.198859 
     0.0867713     0.185837 
     0.0869314     0.171512 
     0.0870515     0.159735 
     0.0871716     0.146982 
     0.0872917     0.133157 
     0.0873717     0.123297 
     0.0874718     0.110209 
     0.0875719    0.0962601 
     0.0876682    0.0820654 
