#ZVView-data-copy:   1-Oct-2024 00:17:07
#=======================================
#
#name:   ENDF/B-VIII.0: CA-43(N,EL)CA-43-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3284
#data...
#            X            Y
#          MeV        barns
         1e-11      36.3614 
   1.10304e-11      34.6413 
   1.21669e-11      33.0045 
   1.34206e-11      31.4471 
   1.48034e-11      29.9653 
   1.63287e-11      28.5556 
   1.80111e-11      27.2145 
   1.98669e-11      25.9388 
   2.19139e-11      24.7255 
   2.41719e-11      23.5717 
   2.66625e-11      22.4745 
   2.94097e-11      21.4313 
     3.244e-11      20.4396 
   3.57825e-11      19.4971 
   3.94694e-11      18.6013 
   4.35362e-11      17.7503 
   4.83609e-11      16.8855 
   5.37174e-11      16.0677 
   5.96704e-11      15.2937 
   6.62796e-11      14.5623 
   7.36246e-11      13.8705 
   8.17795e-11      13.2172 
   9.08421e-11         12.6 
   1.00904e-10      12.0176 
   1.12086e-10      11.4679 
   1.24501e-10      10.9499 
   1.38299e-10      10.4615 
   1.53616e-10      10.0019 
    1.7064e-10       9.5693 
    1.8954e-10      9.16284 
   2.10545e-10      8.78093 
   2.33866e-10      8.42282 
   2.61602e-10      8.06553 
   2.92627e-10      7.73262 
   3.27333e-10      7.42289 
   3.66154e-10      7.13519 
   4.09579e-10      6.86842 
   4.61387e-10      6.60668 
   5.19722e-10      6.36625 
   5.85462e-10      6.14575 
   6.64136e-10      5.93286 
   7.53383e-10      5.73979 
   8.60608e-10      5.55607 
   9.83144e-10      5.39139 
    1.13099e-9      5.23711 
    1.31019e-9      5.09431 
    1.52849e-9      4.96373 
    1.79573e-9      4.84579 
    2.13936e-9      4.73656 
    2.58484e-9      4.63765 
    3.16698e-9      4.55007 
    3.96272e-9      4.47188 
    5.09931e-9      4.40247 
    6.79594e-9      4.34206 
    9.44539e-9      4.29111 
    1.39824e-8       4.2487 
    2.28313e-8      4.21446 
    2.52419e-8      4.20928 
       2.53e-8      4.20917 
    5.06179e-8      4.18466 
    1.46795e-7      4.16824 
    1.65689e-6      4.15359 
    5.42353e-5      3.92533 
   0.000111587      3.70782 
   0.000172276      3.50751 
   0.000234466      3.32986 
   0.000299617       3.1705 
   0.000361988      3.04153 
    0.00042496      2.93344 
   0.000485443      2.85102 
   0.000541453      2.79473 
   0.000591535      2.76212 
   0.000638901      2.74797 
   0.000646778      2.74755 
   0.000688883      2.75693 
   0.000728589      2.78175 
   0.000765186      2.82502 
    0.00079248      2.87004 
   0.000825208      2.94397 
   0.000854602       3.0294 
   0.000876663      3.10948 
   0.000901574      3.21945 
   0.000922337       3.3281 
   0.000941948      3.44885 
   0.000961928      3.59296 
   0.000976397      3.71169 
   0.000990172      3.83784 
    0.00100414      3.98049 
    0.00101831      4.14227 
    0.00103268      4.32637 
    0.00104724      4.53664 
    0.00106202      4.77779 
      0.001077      5.05559 
    0.00109086      5.34473 
    0.00110468       5.6728 
    0.00111593      5.97373 
    0.00112719      6.30611 
    0.00113733      6.63876 
    0.00114671      6.97642 
    0.00115572      7.33365 
    0.00116473      7.72354 
    0.00117373      8.15366 
    0.00118124      8.54257 
    0.00119025       9.0556 
    0.00119926      9.62311 
    0.00120826      10.2526 
    0.00121727      10.9528 
    0.00122628       11.734 
    0.00123304      12.3805 
    0.00123979      13.0854 
    0.00124655      13.8558 
     0.0012533      14.6994 
    0.00126006      15.6255 
    0.00126682      16.6445 
    0.00127357      17.7689 
    0.00128033      19.0129 
    0.00128708      20.3932 
    0.00129384      21.9296 
    0.00130059      23.6457 
     0.0013051       24.903 
     0.0013096      26.2619 
    0.00131411      27.7332 
    0.00131861       29.329 
    0.00132311      31.0633 
    0.00132762      32.9519 
    0.00133212      35.0127 
    0.00133663      37.2665 
    0.00134113      39.7371 
    0.00134563       42.452 
    0.00135014      45.4427 
    0.00135464      48.7465 
    0.00135915      52.4061 
    0.00136365      56.4723 
     0.0013674      60.2138 
    0.00137041      63.4661 
    0.00137341      66.9736 
    0.00137641      70.7624 
    0.00137941      74.8615 
    0.00138242      79.3037 
    0.00138542      84.1258 
    0.00138842      89.3695 
    0.00139142      95.0818 
    0.00139443      101.316 
    0.00139743      108.132 
    0.00140043      115.599 
    0.00140343      123.795 
    0.00140644      132.807 
    0.00140944      142.737 
    0.00141244      153.696 
    0.00141526      165.015 
    0.00141788       176.54 
    0.00142051      189.207 
    0.00142314      203.105 
    0.00142577       218.35 
    0.00142839      235.081 
    0.00143102      253.449 
    0.00143365      273.609 
