#ZVView-data-copy:  31-Dec-2024 18:42:10
#=======================================
#
#name:   ENDF/B-VIII.0: CA-48(N,EL)CA-48-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1030
#data...
#            X            Y
#          MeV        barns
         1e-11      30.7635 
   1.10304e-11      29.3102 
   1.21669e-11      27.9273 
   1.34206e-11      26.6116 
   1.48034e-11      25.3599 
   1.63287e-11      24.1692 
   1.80111e-11      23.0365 
   1.99488e-11      21.9153 
   2.20043e-11       20.893 
   2.42715e-11      19.9209 
   2.67724e-11      18.9967 
   2.95309e-11      18.1181 
   3.25737e-11      17.2831 
     3.593e-11      16.4896 
   3.96321e-11      15.7357 
   4.40218e-11      14.9701 
   4.89003e-11      14.2453 
   5.43166e-11      13.5601 
   6.03359e-11      12.9119 
   6.70189e-11      12.2996 
   7.44458e-11      11.7208 
   8.26916e-11      11.1745 
   9.18554e-11      10.6586 
    1.0203e-10      10.1721 
   1.13337e-10      9.71325 
    1.2589e-10      9.28119 
   1.39841e-10      8.87419 
    1.5533e-10      8.49153 
   1.72544e-10      8.13169 
   1.91654e-10      7.79397 
   2.12894e-10      7.47703 
   2.38143e-10      7.16105 
   2.66386e-10      6.86669 
   2.97979e-10      6.59288 
   3.33319e-10      6.33861 
    3.7285e-10       6.1029 
   4.19991e-10      5.87179 
   4.73116e-10      5.65939 
   5.32933e-10      5.46482 
   6.04549e-10      5.27696 
   6.85788e-10      5.10664 
   7.83433e-10      4.94459 
   8.94935e-10       4.7995 
    1.02952e-9      4.66357 
     1.1927e-9      4.53777 
    1.39142e-9      4.42283 
    1.63462e-9      4.31908 
    1.94751e-9      4.22297 
    2.35292e-9      4.13602 
    2.88297e-9        4.059 
    3.60736e-9      3.99026 
    4.64202e-9      3.92925 
     6.1862e-9      3.87615 
    8.65859e-9      3.83057 
     1.2908e-8      3.79302 
    2.12247e-8      3.76305 
    2.52052e-8       3.7557 
       2.53e-8      3.75555 
    5.27906e-8      3.73522 
    1.71253e-7      3.72225 
    4.38673e-6      3.71563 
    0.00072871      3.54457 
    0.00153431      3.38362 
    0.00241369      3.23512 
    0.00340594      3.09411 
    0.00450462      2.96334 
     0.0057484      2.83989 
    0.00711399      2.72732 
     0.0086874      2.61999 
      0.010503      2.51856 
     0.0125619      2.42495 
     0.0148202      2.34151 
     0.0175643      2.25949 
     0.0206315      2.18627 
     0.0243959      2.11499 
     0.0287199      2.05075 
     0.0340023      1.98962 
     0.0404193      1.93252 
     0.0484896      1.87798 
     0.0586824      1.82621 
     0.0716681      1.77654 
     0.0908644      1.72041 
       0.12009      1.64305 
      0.130712      1.60531 
      0.137499      1.57079 
      0.141925      1.53874 
      0.145171      1.50608 
      0.147827      1.46945 
      0.149892      1.43054 
      0.151367      1.39388 
      0.152548      1.35655 
      0.153581      1.31537 
      0.154466      1.27141 
      0.155203      1.22601 
      0.155794      1.18196 
       0.15631      1.13591 
      0.156753      1.08934 
      0.157121      1.04426 
      0.157476       0.9941 
        0.1578     0.940752 
      0.158036     0.896714 
      0.158272      0.84734 
      0.158449     0.806424 
      0.158626     0.761337 
      0.158803     0.711694 
       0.15898     0.656873 
      0.159098     0.617113 
      0.159216     0.574533 
      0.159334      0.52892 
      0.159452      0.48008 
      0.159571     0.427864 
      0.159659     0.386416 
      0.159748     0.343143 
      0.159851     0.290397 
      0.159954     0.235759 
      0.160131     0.140472 
      0.160184     0.112678 
      0.160226    0.0917965 
      0.160257    0.0767712 
      0.160282    0.0651198 
      0.160304    0.0553003 
      0.160322    0.0475039 
      0.160338     0.041264 
      0.160352    0.0356132 
      0.160364    0.0313162 
      0.160375    0.0274835 
      0.160384    0.0245649 
      0.160393    0.0217875 
      0.160402    0.0191589 
       0.16041    0.0168869 
