#ZVView-data-copy:  30-Jul-2024 17:03:02
#=======================================
#
#name:   ENDF/B-VIII.0: GE-70(N,EL)GE-70-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3185
#data...
#            X            Y
#          MeV        barns
         1e-11      94.8363 
    1.1078e-11      90.1915 
   1.22194e-11      85.9639 
   1.34785e-11       81.943 
   1.48673e-11      78.1191 
   1.63991e-11      74.4829 
   1.80889e-11      71.0258 
   1.99527e-11      67.7393 
   2.20085e-11      64.6157 
   2.42762e-11      61.6472 
   2.67776e-11      58.8269 
   2.97451e-11       55.961 
   3.30397e-11      53.2507 
   3.67011e-11      50.6858 
   4.07662e-11      48.2618 
   4.52839e-11      45.9694 
   5.02996e-11      43.8045 
   5.58738e-11      41.7589 
   6.20625e-11       39.829 
   6.89402e-11      38.0074 
   7.65761e-11      36.2906 
   8.50622e-11      34.6723 
   9.44839e-11      33.1492 
   1.04955e-10      31.7156 
   1.16579e-10      30.3687 
   1.29499e-10      29.1031 
   1.43842e-10      27.9164 
   1.60902e-10      26.7325 
   1.79985e-10      25.6293 
   2.01331e-10       24.603 
   2.25208e-10      23.6497 
   2.51918e-10      22.7658 
   2.83783e-10      21.8985 
   3.19662e-10      21.1019 
   3.60097e-10      20.3713 
   4.08487e-10      19.6659 
   4.63379e-10      19.0263 
    5.2933e-10      18.4176 
   6.04697e-10      17.8721 
   6.95634e-10      17.3609 
   8.05851e-10      16.8879 
   9.40118e-10      16.4554 
    1.10449e-9      16.0647 
    1.31585e-9      15.7029 
    1.58984e-9      15.3753 
    1.94789e-9      15.0853 
    2.43733e-9      14.8263 
     3.1364e-9      14.5964 
    4.17994e-9      14.3963 
    5.80952e-9      14.2276 
    8.60005e-9      14.0871 
    1.40427e-8      13.9737 
    2.52962e-8      13.8937 
       2.53e-8      13.8937 
    6.42298e-8      13.8324 
    3.88649e-7      13.7908 
    2.59924e-5      13.1213 
    5.77632e-5      12.3994 
    9.17134e-5      11.7287 
   0.000129273      11.0843 
   0.000168698      10.4963 
   0.000211086      9.94379 
   0.000258383      9.40528 
   0.000309998      8.89131 
   0.000369113       8.3741 
    0.00043822      7.84185 
   0.000521896      7.26677 
    0.00071814      6.01318 
    0.00077528      5.61135 
    0.00081812       5.2724 
    0.00085144      4.97365 
    0.00087524      4.73274 
    0.00089904      4.46097 
    0.00091808      4.21457 
    0.00093236      4.00835 
    0.00094664      3.77948 
    0.00096092      3.52305 
    0.00097044      3.33374 
    0.00097996      3.12715 
    0.00098948      2.90065 
    0.00099781      2.68394 
    0.00100495       2.4823 
    0.00101209       2.2645 
    0.00101744      2.08962 
     0.0010228      1.90418 
    0.00102815      1.70769 
    0.00103351      1.49998 
    0.00103886      1.28136 
    0.00104422        1.053 
    0.00105136     0.738553 
    0.00105619     0.525813 
     0.0010585     0.427217 
    0.00106029     0.353363 
    0.00106177     0.294141 
      0.001063     0.247285 
    0.00106393     0.213255 
    0.00106467     0.187122 
    0.00106544     0.161465 
    0.00106609     0.140554 
    0.00106674     0.120645 
    0.00106731      0.10393 
    0.00106778    0.0911346 
    0.00106824    0.0789949 
    0.00106862    0.0697834 
    0.00106899    0.0610403 
    0.00106928    0.0543997 
    0.00106958    0.0480873 
    0.00106986    0.0424798 
    0.00107014    0.0371845 
    0.00107036    0.0331814 
    0.00107059    0.0293924 
    0.00107077    0.0264033 
    0.00107092    0.0241248 
    0.00107111    0.0214213 
    0.00107126    0.0193767 
    0.00107142    0.0172049 
    0.00107159    0.0152264 
    0.00107172    0.0137402 
    0.00107181    0.0126829 
    0.00107195    0.0112587 
    0.00107205    0.0103668 
    0.00107214   0.00952147 
    0.00107222   0.00880097 
    0.00107233    0.0079005 
    0.00107241   0.00733884 
    0.00107248   0.00680855 
    0.00107258   0.00616045 
    0.00107265   0.00575905 
    0.00107271   0.00538241 
    0.00107277     0.005055 
    0.00107285   0.00463753 
    0.00107291   0.00438254 
    0.00107297   0.00414642 
    0.00107304   0.00387791 
    0.00107311   0.00363939 
    0.00107315   0.00349715 
    0.00107322   0.00332068 
    0.00107327   0.00320585 
    0.00107331     0.003115 
    0.00107337   0.00301806 
    0.00107343   0.00293563 
    0.00107347   0.00288633 
    0.00107352   0.00285259 
    0.00107357   0.00283403 
     0.0010736   0.00283123 
    0.00107366   0.00284104 
    0.00107372   0.00287432 
    0.00107377   0.00292596 
    0.00107382    0.0029944 
    0.00107388   0.00308152 
    0.00107393   0.00319524 
    0.00107399   0.00333054 
    0.00107404   0.00346682 
    0.00107409   0.00361983 
    0.00107414   0.00379824 
    0.00107419   0.00401413 
    0.00107425   0.00425242 
    0.00107431   0.00455891 
    0.00107438   0.00492166 
    0.00107445   0.00532018 
    0.00107451   0.00566511 
    0.00107457   0.00603331 
    0.00107465    0.0066298 
    0.00107471   0.00709381 
    0.00107477   0.00762499 
    0.00107484   0.00818906 
    0.00107494    0.0090974 
    0.00107501   0.00984036 
    0.00107509    0.0106276 
    0.00107516    0.0114597 
    0.00107523     0.012337 
    0.00107533    0.0134981 
    0.00107542    0.0147315 
    0.00107551    0.0160382 
    0.00107563     0.017848 
    0.00107572    0.0191753 
    0.00107583    0.0210413 
    0.00107594    0.0230188 
    0.00107609    0.0258318 
    0.00107624      0.02885 
    0.00107639    0.0320774 
    0.00107654    0.0355184 
    0.00107669    0.0394131 
    0.00107683    0.0430581 
    0.00107702    0.0482289 
    0.00107721    0.0537631 
    0.00107739    0.0596698 
    0.00107756     0.065313 
    0.00107773    0.0712726 
    0.00107795    0.0797243 
    0.00107817    0.0887703 
    0.00107841    0.0992625 
    0.00107861     0.108279 
    0.00107887     0.121079 
    0.00107913     0.134798 
     0.0010794     0.150012 
    0.00107962     0.163403 
    0.00107992     0.182427 
    0.00108022     0.202837 
    0.00108051     0.224691 
    0.00108079     0.246545 
    0.00108107     0.269773 
    0.00108135     0.294431 
    0.00108163     0.320576 
    0.00108191      0.34827 
    0.00108219     0.377575 
    0.00108256     0.419271 
    0.00108293     0.464111 
