#ZVView-data-copy:  10-Jan-2025 23:25:33
#=======================================
#
#name:   ENDF/B-VIII.0: I-127(N,EL)I-127-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  15539
#data...
#            X            Y
#          MeV        barns
         1e-11      19.1153 
   1.10304e-11      18.2309 
   1.21669e-11      17.3902 
   1.34206e-11      16.5914 
   1.48034e-11      15.8324 
   1.64439e-11      15.0612 
   1.82652e-11      14.3319 
   2.02894e-11      13.6416 
   2.25366e-11      12.9893 
   2.50342e-11      12.3724 
    2.7807e-11      11.7899 
   3.08885e-11      11.2394 
   3.43098e-11      10.7201 
    3.8112e-11      10.2299 
   4.23333e-11      9.76798 
   4.70247e-11      9.33252 
   5.22332e-11       8.9227 
   5.80216e-11      8.53697 
   6.44483e-11      8.17455 
   7.15903e-11      7.83405 
   7.95198e-11      7.51477 
   8.89508e-11      7.19624 
   9.95003e-11      6.89946 
   1.11301e-10      6.62336 
   1.24501e-10      6.36691 
   1.39267e-10      6.12914 
   1.56883e-10      5.89585 
   1.76718e-10       5.6816 
   1.99071e-10       5.4851 
   2.25822e-10      5.29542 
   2.56169e-10      5.12341 
   2.92627e-10      4.95976 
   3.34293e-10      4.81309 
   3.84565e-10      4.67569 
   4.45496e-10      4.54855 
   5.19722e-10       4.4323 
   6.10592e-10      4.32732 
   7.27435e-10      4.23011 
   8.78907e-10       4.1421 
    1.07685e-9      4.06418 
    1.34742e-9      3.99461 
    1.73389e-9      3.93285 
    2.31078e-9      3.87909 
    3.21166e-9      3.83375 
    4.78787e-9      3.79543 
    7.87271e-9      3.76477 
    1.52085e-8      3.74162 
    2.52419e-8      3.73148 
       2.53e-8      3.73144 
    1.01981e-7      3.71742 
    8.96759e-6      3.36785 
    1.23834e-5      3.21278 
    1.46505e-5      3.08991 
    1.61992e-5      2.98604 
     1.7168e-5      2.90342 
    1.77804e-5      2.83702 
    1.82856e-5      2.76665 
    1.86735e-5      2.69542 
    1.89369e-5      2.63224 
    1.91373e-5      2.57121 
    1.93258e-5      2.49775 
    1.94476e-5      2.43798 
    1.95696e-5      2.36385 
     1.9661e-5      2.29509 
     1.9738e-5      2.22513 
    1.98077e-5      2.14892 
    1.98542e-5       2.0893 
    1.99064e-5       2.0115 
      1.995e-5       1.9359 
    1.99936e-5       1.8483 
    2.00371e-5      1.74673 
    2.00807e-5      1.63106 
     2.0126e-5      1.50407 
    2.01504e-5      1.44281 
    2.01667e-5      1.41091 
    2.01791e-5      1.39457 
    2.01879e-5       1.3889 
    2.01922e-5      1.38821 
    2.02009e-5      1.39183 
    2.02096e-5      1.40316 
    2.02184e-5      1.42352 
    2.02271e-5      1.45435 
    2.02358e-5      1.49714 
    2.02416e-5      1.53307 
    2.02474e-5      1.57545 
    2.02532e-5      1.62474 
     2.0259e-5      1.68139 
    2.02648e-5      1.74581 
    2.02706e-5      1.81841 
    2.02764e-5      1.89956 
    2.02822e-5      1.98959 
     2.0288e-5      2.08876 
    2.02939e-5      2.19732 
    2.02997e-5      2.31541 
    2.03066e-5      2.46982 
    2.03151e-5      2.67487 
    2.03238e-5      2.90787 
     2.0331e-5      3.11766 
    2.03397e-5      3.38699 
    2.03514e-5      3.77289 
    2.03653e-5      4.26882 
    2.03909e-5      5.22908 
    2.04118e-5      6.00633 
    2.04234e-5      6.41175 
    2.04373e-5      6.85661 
    2.04489e-5      7.18285 
    2.04614e-5      7.48016 
    2.04707e-5      7.66191 
    2.04791e-5      7.79595 
    2.04908e-5      7.93195 
    2.05024e-5      8.01158 
     2.0514e-5      8.03696 
    2.05256e-5      8.01182 
    2.05372e-5      7.94125 
    2.05488e-5      7.83132 
    2.05663e-5      7.60725 
    2.05837e-5      7.33272 
    2.06418e-5       6.3092 
     2.0665e-5      5.93382 
    2.06836e-5      5.66473 
    2.07022e-5      5.42551 
    2.07225e-5      5.19705 
    2.07428e-5      5.00025 
    2.07632e-5      4.83109 
    2.07835e-5      4.68538 
    2.08125e-5      4.51029 
    2.08416e-5      4.36577 
    2.08706e-5      4.24462 
    2.09142e-5      4.09553 
    2.09577e-5      3.97519 
    2.10158e-5       3.8463 
    2.10877e-5      3.72154 
    2.11596e-5      3.62317 
    2.12416e-5      3.53319 
     2.1344e-5      3.44408 
    2.14805e-5      3.35213 
     2.1632e-5      3.27364 
    2.18604e-5      3.18447 
    2.20909e-5      3.11628 
    2.24025e-5      3.04496 
    2.28789e-5      2.96268 
    2.33641e-5      2.89746 
    2.40281e-5      2.82583 
    2.48851e-5      2.75333 
    2.55923e-5      2.70936 
    2.61351e-5      2.68854 
    2.64969e-5      2.68359 
    2.68707e-5      2.68938 
    2.72498e-5      2.71135 
    2.75382e-5      2.74361 
    2.78292e-5      2.79561 
    2.80241e-5      2.84528 
    2.82218e-5      2.91189 
    2.83701e-5      2.97554 
    2.85197e-5      3.05484 
    2.86701e-5      3.15353 
    2.88205e-5      3.27617 
    2.89221e-5      3.37614 
    2.90238e-5       3.4932 
    2.91254e-5      3.63077 
    2.92271e-5      3.79322 
    2.93044e-5      3.93684 
    2.93817e-5      4.10116 
     2.9459e-5      4.29001 
    2.95363e-5       4.5081 
    2.96136e-5      4.76134 
    2.96641e-5      4.94912 
    2.97135e-5      5.15291 
    2.97629e-5      5.37926 
    2.98123e-5      5.63142 
    2.98618e-5       5.9133 
    2.99112e-5       6.2296 
    2.99606e-5      6.58601 
      3.001e-5      6.98945 
    3.00522e-5      7.37716 
    3.00871e-5      7.73316 
     3.0122e-5      8.12532 
    3.01569e-5      8.55856 
    3.01918e-5      9.03875 
    3.02267e-5      9.57287 
    3.02616e-5      10.1692 
    3.02965e-5      10.8379 
    3.03256e-5      11.4591 
    3.03606e-5      12.2938 
    3.03838e-5      12.9125 
    3.04071e-5       13.588 
    3.04304e-5      14.3275 
    3.04536e-5      15.1395 
    3.04769e-5      16.0338 
    3.05002e-5      17.0219 
    3.05188e-5      17.8891 
    3.05374e-5      18.8334 
    3.05561e-5      19.8642 
    3.05747e-5      20.9928 
    3.05933e-5      22.2321 
    3.06119e-5      23.5975 
    3.06305e-5       25.107 
    3.06492e-5      26.7824 
    3.06643e-5      28.2835 
    3.06794e-5      29.9276 
    3.06945e-5      31.7339 
    3.07097e-5      33.7252 
    3.07248e-5      35.9282 
    3.07399e-5      38.3745 
    3.07551e-5      41.1014 
    3.07664e-5      43.3572 
    3.07797e-5      46.2688 
     3.0794e-5      49.7567 
    3.08084e-5      53.6743 
    3.08179e-5      56.5577 
    3.08274e-5      59.6846 
     3.0837e-5      63.0796 
    3.08496e-5      68.0065 
    3.08586e-5      71.9218 
    3.08677e-5      76.1683 
    3.08768e-5       80.776 
    3.08859e-5      85.7771 
    3.08949e-5      91.2053 
    3.09043e-5      97.2538 
    3.09136e-5      103.829 
    3.09229e-5      110.971 
    3.09322e-5      118.721 
    3.09415e-5      127.122 
    3.09508e-5      136.211 
    3.09601e-5      146.028 
    3.09694e-5      156.608 
    3.09787e-5      167.981 
     3.0988e-5      180.172 
    3.09974e-5      193.201 
    3.10067e-5      207.076 
    3.10206e-5      229.475 
    3.10346e-5      253.727 
    3.10486e-5      279.716 
    3.10625e-5      307.248 
    3.10811e-5      345.865 
    3.11277e-5      445.736 
    3.11463e-5        483.6 
    3.11603e-5      509.825 
    3.11742e-5      533.461 
    3.11882e-5      553.891 
    3.12031e-5      571.521 
     3.1218e-5      584.302 
     3.1232e-5      591.506 
    3.12454e-5      593.871 
    3.12594e-5      591.514 
    3.12729e-5      584.616 
    3.12822e-5      577.341 
    3.12953e-5      563.899 
    3.13083e-5      546.971 
    3.13223e-5      525.444 
    3.13362e-5      500.984 
    3.13549e-5      464.904 
    3.13828e-5      406.464 
    3.14154e-5      337.423 
     3.1434e-5      299.824 
     3.1448e-5      273.167 
    3.14619e-5      248.101 
    3.14759e-5      224.787 
    3.14899e-5      203.312 
    3.14992e-5       190.03 
    3.15085e-5      177.572 
    3.15178e-5      165.923 
    3.15271e-5      155.062 
    3.15364e-5       144.96 
    3.15457e-5      135.585 
     3.1555e-5      126.902 
    3.15643e-5      118.872 
    3.15736e-5      111.457 
     3.1583e-5      104.617 
    3.15923e-5      98.3113 
    3.16016e-5      92.5017 
    3.16132e-5        85.88 
    3.16237e-5      80.4746 
    3.16342e-5      75.5444 
    3.16446e-5      71.0445 
    3.16551e-5      66.9336 
    3.16621e-5      64.3902 
    3.16751e-5       60.024 
    3.16882e-5      56.1034 
    3.17012e-5      52.5737 
    3.17142e-5      49.3874 
    3.17273e-5      46.5026 
    3.17403e-5      43.8832 
    3.17533e-5      41.4978 
    3.17664e-5      39.3193 
    3.17803e-5       37.188 
    3.17943e-5      35.2421 
    3.18129e-5      32.8996 
    3.18315e-5      30.8061 
    3.18502e-5      28.9265 
    3.18688e-5      27.2316 
    3.18874e-5      25.6972 
     3.1906e-5       24.303 
     3.1927e-5      22.8809 
    3.19502e-5      21.4586 
    3.19735e-5      20.1802 
    3.19968e-5      19.0263 
    3.20201e-5      17.9808 
    3.20433e-5      17.0303 
    3.20666e-5      16.1632 
    3.20899e-5      15.3698 
    3.21155e-5      14.5724 
    3.21434e-5      13.7816 
    3.21713e-5      13.0634 
    3.21993e-5      12.4089 
    3.22272e-5      11.8106 
    3.22551e-5       11.262 
     3.2297e-5      10.5206 
    3.23363e-5      9.90217 
    3.23703e-5      9.41786 
    3.24157e-5      8.83653 
    3.24611e-5      8.31874 
    3.25065e-5      7.85539 
    3.25519e-5       7.4389 
    3.25973e-5      7.06299 
    3.26427e-5      6.72237 
    3.26881e-5      6.41259 
    3.27457e-5      6.05781 
    3.28033e-5      5.74045 
     3.2861e-5      5.45531 
    3.29186e-5      5.19806 
    3.29763e-5      4.96508 
    3.30339e-5      4.75335 
    3.31204e-5      4.47008 
    3.32077e-5      4.21969 
    3.32954e-5      3.99833 
    3.33831e-5      3.80269 
    3.34707e-5      3.62915 
    3.35584e-5      3.47479 
    3.36169e-5      3.38128 
    3.37355e-5      3.21189 
     3.3854e-5      3.06647 
    3.39726e-5      2.94233 
    3.40912e-5      2.83747 
    3.42114e-5      2.74945 
    3.43317e-5      2.67911 
    3.44519e-5      2.62625 
    3.45721e-5      2.59124 
    3.46952e-5      2.57515 
    3.47363e-5      2.57457 
    3.48281e-5      2.58255 
      3.492e-5      2.60424 
    3.50119e-5      2.64119 
    3.51038e-5      2.69555 
    3.51957e-5      2.76979 
    3.52884e-5      2.86795 
    3.53506e-5      2.94862 
    3.54127e-5      3.04285 
    3.54748e-5      3.15225 
    3.55369e-5      3.27867 
    3.55991e-5      3.42431 
    3.56612e-5      3.59179 
    3.57233e-5      3.78426 
    3.57841e-5      4.00029 
    3.58449e-5      4.24777 
    3.59057e-5      4.53139 
    3.59462e-5      4.74329 
    3.59867e-5      4.97565 
    3.60272e-5      5.23066 
    3.60665e-5      5.50197 
    3.61046e-5      5.78982 
    3.61427e-5      6.10493 
    3.61808e-5      6.45031 
    3.62189e-5       6.8294 
    3.62569e-5       7.2461 
     3.6295e-5       7.7049 
    3.63331e-5      8.21095 
     3.6367e-5      8.70523 
    3.63966e-5      9.17594 
    3.64262e-5      9.68611 
    3.64558e-5      10.2398 
    3.64854e-5      10.8418 
    3.65151e-5      11.4971 
    3.65447e-5       12.212 
    3.65743e-5      12.9931 
    3.66007e-5      13.7529 
    3.66356e-5      14.8575 
    3.66589e-5      15.6657 
    3.66822e-5       16.538 
    3.67055e-5      17.4813 
    3.67287e-5      18.5028 
     3.6752e-5      19.6111 
    3.67753e-5      20.8159 
     3.6796e-5      21.9793 
    3.68167e-5       23.237 
    3.68375e-5      24.5988 
    3.68582e-5      26.0763 
    3.68789e-5      27.6827 
    3.68997e-5      29.4329 
    3.69204e-5      31.3442 
    3.69411e-5      33.4369 
    3.69581e-5      35.2957 
     3.6975e-5      37.3055 
    3.69919e-5       39.483 
    3.70088e-5      41.8473 
    3.70258e-5      44.4206 
    3.70427e-5      47.2286 
    3.70596e-5       50.301 
    3.70765e-5      53.6728 
    3.70918e-5      56.9976 
     3.7107e-5      60.6338 
    3.71222e-5       64.623 
    3.71375e-5      69.0146 
    3.71527e-5      73.8671 
    3.71679e-5      79.2506 
    3.71794e-5      83.6868 
    3.71908e-5      88.5105 
    3.72043e-5       94.796 
    3.72162e-5      100.872 
     3.7228e-5      107.563 
    3.72399e-5      114.955 
    3.72517e-5      123.149 
    3.72636e-5      132.261 
    3.72724e-5      139.778 
    3.72813e-5      147.952 
    3.72902e-5      156.855 
    3.72983e-5      165.604 
    3.73084e-5      177.704 
    3.73186e-5      191.108 
    3.73287e-5      205.979 
    3.73363e-5      218.201 
     3.7344e-5      231.429 
    3.73516e-5       245.75 
    3.73592e-5      261.258 
    3.73668e-5       278.05 
    3.73744e-5      296.231 
    3.73822e-5      316.364 
      3.739e-5      338.183 
    3.73978e-5      361.811 
    3.74056e-5      387.378 
    3.74133e-5      415.014 
    3.74211e-5      444.851 
    3.74289e-5       477.02 
    3.74367e-5      511.648 
    3.74443e-5      548.025 
    3.74519e-5      586.986 
    3.74621e-5      643.129 
    3.74722e-5      704.262 
    3.74807e-5      759.141 
    3.74909e-5      829.826 
     3.7501e-5      905.835 
    3.75112e-5      987.159 
    3.75213e-5       1073.7 
    3.75349e-5      1196.87 
    3.75484e-5      1328.21 
    3.75653e-5       1502.2 
    3.75924e-5      1795.84 
    3.76263e-5      2165.77 
    3.76466e-5      2373.24 
    3.76601e-5      2499.45 
    3.76737e-5      2612.58 
    3.76872e-5      2709.96 
    3.76987e-5      2778.53 
    3.77129e-5      2843.29 
    3.77265e-5      2882.94 
    3.77401e-5      2900.14 
    3.77428e-5      2900.78 
    3.77549e-5       2892.5 
    3.77684e-5      2861.86 
     3.7782e-5       2809.5 
    3.77955e-5      2736.89 
    3.78091e-5      2645.97 
    3.78226e-5      2539.09 
    3.78361e-5      2418.89 
    3.78564e-5      2219.83 
    3.78835e-5      1934.51 
    3.79106e-5       1646.1 
    3.79309e-5       1438.6 
    3.79478e-5      1276.09 
    3.79614e-5      1154.57 
    3.79749e-5      1041.44 
    3.79851e-5      962.383 
    3.79959e-5      883.628 
    3.80081e-5      801.903 
    3.80162e-5      751.405 
    3.80277e-5      685.173 
    3.80379e-5      631.714 
     3.8048e-5      582.699 
    3.80582e-5       537.89 
    3.80683e-5      497.026 
    3.80785e-5      459.839 
    3.80874e-5      430.102 
    3.80963e-5      402.791 
    3.81052e-5      377.727 
     3.8114e-5      354.738 
    3.81229e-5      333.657 
    3.81318e-5      314.328 
    3.81407e-5      296.601 
    3.81496e-5      280.337 
    3.81585e-5      265.404 
    3.81674e-5      251.684 
    3.81771e-5      237.914 
    3.81885e-5      223.255 
    3.81999e-5      210.038 
    3.82114e-5       198.09 
    3.82228e-5       187.26 
    3.82342e-5      177.417 
    3.82456e-5      168.443 
    3.82571e-5      160.239 
    3.82723e-5      150.346 
    3.82875e-5      141.487 
    3.83036e-5      133.097 
    3.83205e-5      125.177 
    3.83375e-5      118.057 
    3.83544e-5      111.626 
    3.83713e-5       105.79 
    3.83882e-5      100.473 
    3.84052e-5        95.61 
    3.84305e-5      89.0512 
    3.84502e-5      84.4925 
    3.84699e-5      80.3292 
    3.84961e-5      75.3126 
    3.85224e-5      70.8227 
    3.85486e-5      66.7843 
    3.85748e-5      63.1356 
    3.86011e-5      59.8254 
    3.86273e-5      56.8112 
