#ZVView-data-copy:  10-Jan-2025 23:27:10
#=======================================
#
#name:   ENDF/B-VIII.0: TL-205(N,EL)TL-205-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5847
#data...
#            X            Y
#          MeV        barns
         1e-11      37.7035 
   1.11082e-11      35.8748 
   1.23386e-11      34.1459 
   1.37059e-11      32.5101 
    1.5224e-11      30.9646 
   1.69111e-11      29.5035 
   1.87842e-11      28.1243 
   2.08659e-11      26.8216 
    2.3177e-11      25.5931 
   2.57455e-11       24.434 
   2.85971e-11      23.3424 
   3.17662e-11      22.3139 
   3.52847e-11      21.3466 
   3.91949e-11      20.4367 
   4.35362e-11      19.5826 
   4.83609e-11      18.7807 
   5.40964e-11       17.981 
    6.0233e-11      17.2654 
   6.73766e-11      16.5697 
   7.53674e-11      15.9234 
   8.43059e-11      15.3238 
   9.49697e-11      14.7354 
   1.06977e-10      14.1947 
   1.20509e-10      13.6986 
   1.36703e-10      13.2195 
   1.55073e-10      12.7848 
   1.77144e-10      12.3709 
   2.02366e-10      11.9998 
   2.32799e-10       11.652 
   2.69683e-10        11.33 
   3.14616e-10      11.0354 
   3.69626e-10      10.7693 
   4.40357e-10      10.5228 
   5.28324e-10      10.3071 
   6.47342e-10      10.1081 
   8.09995e-10      9.93033 
    1.03501e-9      9.77648 
    1.36972e-9      9.64114 
    1.89048e-9      9.52585 
    2.77907e-9       9.4289 
    4.47472e-9      9.35073 
    8.34654e-9       9.2913 
    2.07484e-8      9.25025 
    2.52722e-8       9.2453 
       2.53e-8      9.24527 
    1.92905e-7      9.22557 
    4.41392e-5      9.21689 
    4.46041e-5      9.21717 
     0.0011351      9.04578 
    0.00144394      8.97603 
    0.00144482      8.97609 
    0.00186038      8.84039 
     0.0021203      8.70249 
     0.0022985      8.55209 
    0.00241895      8.39501 
     0.0025031      8.23225 
     0.0025658      8.05712 
      0.002612      7.87472 
      0.002645      7.69635 
     0.0026714      7.50485 
     0.0026912       7.3156 
     0.0027077      7.11124 
     0.0027209      6.90168 
     0.0027308       6.7056 
     0.0027407      6.46312 
    0.00274689        6.281 
    0.00275291      6.07653 
    0.00275918       5.8342 
    0.00276661      5.52946 
    0.00276957      5.42602 
    0.00277205        5.372 
    0.00277304      5.36541 
    0.00277428      5.37584 
    0.00277551      5.41507 
    0.00277644       5.4705 
    0.00277737      5.55634 
    0.00277822      5.66944 
     0.0027789      5.79138 
    0.00277958      5.94777 
    0.00278026       6.1471 
    0.00278071      6.30929 
    0.00278117      6.49964 
    0.00278162      6.72297 
    0.00278212      7.01103 
    0.00278261      7.35429 
    0.00278294      7.61923 
    0.00278327      7.91761 
     0.0027836      8.25398 
    0.00278393      8.63368 
    0.00278426      9.06283 
    0.00278456      9.49731 
    0.00278485      9.98369 
    0.00278515       10.529 
    0.00278545      11.1411 
    0.00278575      11.8294 
    0.00278604      12.6045 
    0.00278626        13.25 
    0.00278649      13.9571 
    0.00278674      14.8229 
    0.00278693      15.5828 
    0.00278713      16.4087 
    0.00278733      17.3069 
    0.00278753      18.2844 
    0.00278773      19.3485 
    0.00278792      20.5077 
    0.00278812      21.7705 
     0.0027883      23.0274 
    0.00278855      24.9088 
     0.0027888      27.0024 
    0.00278904      29.3299 
    0.00278929      31.9135 
    0.00278954      34.7747 
    0.00278976      37.6041 
    0.00278999      40.6864 
    0.00279021      44.0304 
    0.00279043       47.639 
    0.00279065      51.5085 
    0.00279088       55.783 
     0.0027912      61.9614 
    0.00279167      71.8019 
    0.00279217      82.3985 
    0.00279245      88.0267 
    0.00279273      93.1873 
    0.00279301      97.6805 
    0.00279319      100.215 
    0.00279338      102.327 
    0.00279361      104.313 
    0.00279382      105.459 
    0.00279406      106.023 
    0.00279409      106.037 
    0.00279429      105.807 
    0.00279449      105.065 
    0.00279469       103.85 
    0.00279495       101.58 
    0.00279522      98.6942 
    0.00279561      93.5213 
    0.00279614      85.7571 
     0.0027968       75.861 
     0.0027972      70.2469 
    0.00279759      65.0323 
    0.00279799      60.2697 
