#ZVView-data-copy:   1-Oct-2024 17:17:32
#=======================================
#
#name:   ENDF/B-VIII.0: W-183(N,EL)W-183-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  26195
#data...
#            X            Y
#          MeV        barns
         1e-11      24.5003 
   1.11082e-11      23.3052 
   1.23386e-11       22.175 
   1.37059e-11      21.1052 
    1.5224e-11      20.0942 
   1.69111e-11      19.1379 
   1.87842e-11      18.2348 
   2.08659e-11      17.3813 
    2.3177e-11       16.576 
   2.57455e-11      15.8158 
   2.85971e-11      15.0992 
   3.17662e-11      14.4236 
   3.52847e-11      13.7877 
   3.91949e-11      13.1889 
   4.35362e-11      12.6263 
   4.83609e-11      12.0975 
   5.37174e-11      11.6016 
   6.00883e-11      11.1067 
   6.72147e-11      10.6454 
   7.51862e-11      10.2161 
   8.41032e-11      9.81714 
   9.40778e-11       9.4471 
   1.05978e-10      9.08388 
   1.19377e-10      8.75012 
   1.34477e-10      8.44385 
   1.52548e-10      8.14803 
   1.73048e-10       7.8796 
   1.97676e-10      7.62405 
   2.25822e-10      7.39486 
   2.59783e-10      7.18001 
   3.00943e-10      6.98107 
   3.51084e-10      6.79907 
   4.12469e-10      6.63461 
   4.91398e-10      6.48225 
   5.89562e-10      6.34895 
   7.22375e-10      6.22586 
   9.03882e-10      6.11598 
    1.15498e-9      6.02084 
    1.52849e-9      5.93712 
     2.1096e-9      5.86578 
     3.1012e-9      5.80572 
    4.99339e-9      5.75716 
    9.31399e-9      5.71987 
    2.31534e-8      5.69275 
    2.52419e-8      5.69108 
       2.53e-8      5.69103 
    1.60786e-7      5.66069 
    1.97395e-6      5.40431 
    3.15624e-6      5.20121 
    4.00501e-6      5.02185 
    4.63957e-6      4.85522 
    5.11762e-6      4.69857 
    5.48895e-6      4.54686 
    5.76495e-6      4.40781 
     6.0124e-6      4.25469 
    6.18325e-6      4.12631 
    6.35895e-6      3.96709 
    6.49383e-6      3.81926 
    6.58545e-6        3.702 
    6.67836e-6      3.56538 
    6.77258e-6      3.40354 
    6.84424e-6      3.26071 
    6.91657e-6      3.09492 
    6.96502e-6       2.9692 
    7.01416e-6      2.82745 
    7.06329e-6      2.66906 
    7.10066e-6      2.53589 
    7.13803e-6      2.39041 
    7.17557e-6      2.23079 
    7.21347e-6      2.05542 
    7.25136e-6      1.86634 
    7.32469e-6      1.48106 
    7.34294e-6      1.39176 
    7.35732e-6      1.32896 
     7.3669e-6      1.29292 
    7.37648e-6      1.26348 
    7.38367e-6      1.24705 
    7.39085e-6      1.23677 
    7.39565e-6      1.23405 
    7.40283e-6      1.23747 
    7.40762e-6      1.24568 
    7.41206e-6      1.25826 
    7.41613e-6      1.27464 
     7.4202e-6      1.29628 
    7.42427e-6      1.32389 
    7.42841e-6      1.35883 
     7.4326e-6      1.40241 
    7.43679e-6      1.45533 
    7.44098e-6      1.51892 
    7.44413e-6      1.57453 
    7.44727e-6      1.63773 
    7.45042e-6      1.70932 
    7.45356e-6      1.79019 
     7.4567e-6      1.88135 
    7.45985e-6      1.98387 
     7.4632e-6      2.10711 
    7.46656e-6      2.24628 
    7.46907e-6      2.36218 
    7.47159e-6      2.48885 
     7.4741e-6      2.62719 
    7.47662e-6      2.77813 
    7.47913e-6       2.9427 
    7.48165e-6      3.12197 
    7.48416e-6      3.31711 
    7.48668e-6      3.52933 
    7.48955e-6      3.79449 
    7.49243e-6      4.08573 
     7.4953e-6      4.40528 
    7.49818e-6      4.75545 
    7.50105e-6       5.1387 
    7.50393e-6      5.55759 
     7.5068e-6      6.01482 
    7.50968e-6      6.51316 
    7.51255e-6      7.05549 
    7.51543e-6      7.64474 
     7.5183e-6      8.28392 
    7.52118e-6      8.97602 
    7.52405e-6      9.72406 
    7.52693e-6       10.531 
     7.5298e-6      11.3998 
    7.53268e-6      12.3331 
    7.53555e-6      13.3337 
    7.53843e-6       14.404 
     7.5413e-6      15.5461 
    7.54418e-6       16.762 
    7.54801e-6      18.5004 
    7.55146e-6      20.1813 
    7.55491e-6      21.9734 
    7.55836e-6      23.8761 
    7.56181e-6      25.8879 
    7.56698e-6       29.103 
    7.57216e-6      32.5398 
    7.57714e-6      36.0362 
    7.58481e-6      41.7036 
    7.60627e-6      58.2007 
     7.6124e-6      62.6578 
    7.61815e-6      66.5537 
     7.6239e-6      70.0863 
    7.62965e-6      73.1752 
     7.6354e-6      75.7507 
    7.64077e-6      77.6425 
    7.64537e-6       78.845 
    7.65035e-6      79.6966 
     7.6561e-6      80.0906 
    7.65667e-6      80.0956 
     7.6607e-6      79.9581 
    7.66683e-6      79.1875 
    7.67258e-6      77.8903 
    7.67833e-6      76.0937 
    7.68408e-6      73.8638 
    7.68983e-6      71.2742 
    7.69749e-6      67.3951 
    7.70899e-6      61.0292 
    7.72433e-6      52.3586 
    7.73199e-6      48.2274 
    7.73966e-6      44.3465 
    7.74732e-6      40.7659 
    7.75307e-6      38.2936 
    7.75882e-6      36.0081 
