CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,MINERAL,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,SIO2(WT%),TIO2(WT%),ZRO2(WT%),ZR2O3(WT%),HFO2(WT%),THO2(WT%),AL2O3(WT%),CR2O3(WT%),SC2O3(WT%),LA2O3(WT%),CE2O3(WT%),ND2O3(WT%),Y2O3(WT%),V2O3(WT%),V2O5(WT%),NB2O3(WT%),NB2O5(WT%),TA2O5(WT%),WO3(WT%),FE2O3T(WT%),FE2O3(WT%),FEOT(WT%),FEO(WT%),CAO(WT%),MGO(WT%),MNO(WT%),MN2O3(WT%),BAO(WT%),SRO(WT%),PBO(WT%),NIO(WT%),ZNO(WT%),COO(WT%),CUO(WT%),CS2O(WT%),RB2O(WT%),K2O(WT%),NA2O(WT%),LI2O(WT%),P2O5(WT%),AS2O3(WT%),AS2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),CO2(WT%),F(WT%),CL(WT%),OH(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),O(WT%),SI(WT%),AL(WT%),TI(WT%),FE(WT%),MG(WT%),MN(WT%),CA(WT%),BA(WT%),Y(WT%),SR(WT%),K(WT%),NA(WT%),CO(WT%),CR(WT%),CU(WT%),NI(WT%),GA(WT%),H(PPM),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCMSTP/G),HE4(AT/G),LI(PPM),LI6(PPM),LI7(PPM),BE(PPM),BE9(PPM),BE10(AT/G),B(PPM),N(PPM),F(PPM),NE(CCMSTP/G),NE20(CCMSTP/G),NE22(CCMSTP/G),NA(PPM),NA23(PPM),MG(PPM),MG24(PPM),AL(PPM),AL27(PPM),SI(PPM),SI29(PPM),P(PPM),S(PPM),CL(PPM),AR(CCMSTP/G),AR(MOL/G),AR36(CCMSTP/G),AR36(MOL/G),AR37(MOL/G),AR39(CCMSTP/G),AR39(MOL/G),AR40(AT/G),AR40(CCMSTP/G),AR40(MOL/G),AR40(PPM),AR40(PPB),K(PPM),K39(PPM),K40(PPM),CA(PPM),CA42(PPM),CA43(PPM),CA44(PPM),SC(PPM),SC(PPB),SC45(PPM),TI(PPM),TI47(PPM),TI48(PPM),TI49(PPM),V(PPM),V51(PPM),CR(PPM),CR52(PPM),CR53(PPM),MN(PPM),FE(PPM),FE57(PPM),CO(PPM),CO59(PPM),NI(PPM),NI60(PPM),NI62(PPM),CU(PPM),CU63(PPM),CU65(PPM),ZN(PPM),ZN66(PPM),ZN67(PPM),GA(PPM),GE(PPM),GE73(PPM),GE74(PPM),AS(PPM),SE(PPM),BR(PPM),KR84(CCMSTP/G),RB(PPM),RB(PPB),RB85(PPM),SR(PPM),SR(PPB),SR86(PPM),SR88(PPM),Y(PPM),Y(PPB),Y89(PPM),ZR(PPM),ZR(PPB),ZR90(PPM),NB(PPM),NB93(PPM),NB(PPB),MO(PPM),MO95(PPM),MO97(PPM),MO98(PPM),MO100(PPM),RU(PPB),PD(PPM),PD(PPB),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),XE132(CCMSTP/G),CS(PPM),CS133(PPM),BA(PPM),BA137(PPM),BA138(PPM),LA(PPM),LA(PPB),LA139(PPM),CE(PPM),CE(PPB),CE140(PPM),PR(PPM),PR(PPB),PR141(PPM),ND(PPM),ND(PPB),ND146(PPM),SM(PPM),SM(PPB),SM147(PPM),EU(PPM),EU(PPB),EU153(PPM),GD(PPM),GD(PPB),GD157(PPM),TB(PPM),TB(PPB),TB159(PPM),DY(PPM),DY163(PPM),DY(PPB),HO(PPM),HO165(PPM),HO(PPB),ER(PPM),ER166(PPM),ER(PPB),TM(PPM),TM(PPB),TM169(PPM),YB(PPM),YB(PPB),YB172(PPM),LU(PPM),LU175(PPM),LU(PPB),HF(PPM),HF(PPB),HF178(PPM),TA(PPM),TA181(PPM),W(PPM),RE(PPM),RE187(PPM),OS(PPB),OS187(PPB),IR(PPB),PT(PPM),PT(PPB),AU(PPM),HG(PPM),TL(PPM),TL208_ACT(DPM/G),PB(PPM),PB206(PPM),PB207(PPM),PB208(PPM),PB210_ACT(DPM/G),PB214_ACT(DPM/G),BI(PPM),BI214_ACT(DPM/G),PO210_ACT(DPM/G),RA(PPT),RA(PPQ),RA226(PPQ),RA226(PPT),RA226_ACT(DPM/G),RA226_ACT(BQ/KG),TH(PPM),TH(PPB),AC227_ACT(DPM/G),AC228_ACT(DPM/G),TH230_ACT(DPM/G),TH232(PPM),TH232_ACT(DPM/G),U(PPM),U(PPB),U238(PPM),U238_ACT(DPM/G),CO2(PPM),H2O(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,EPSILON_ND_INI,SM147_ND144,SR84_SR86,SR84_SR88,SR87_SR86,SR87_SR86_INI,EPSILON_SR_INI,RB85_SR86,RB85_SR88,RB87_SR86,SR88_SR86,PB204_PB206,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB207_PB206,PB207_PB206_INI,PB208_PB204,PB208_PB204_INI,PB208_PB206,PB208_PB206_INI,OS187_OS188,RE187_OS188,HF176_HF177,LU176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_AR40,HE4_NE20,BE10_BE9,K40_AR36,AR34_AR39,AR36_AR37,AR36_AR38,AR36_AR39,AR36_AR40,AR37_AR39,AR38_AR36,AR38_AR39,AR38_AR40,AR39_AR40,AR40_AR36,AR40_AR36_INI,AR40_AR38,AR40_AR39,AR40_K40,KR82_KR84,KR83_KR84,KR86_KR84,NE20_NE22,NE21_NE20,NE21_NE22,NE22_NE20,XE128_XE132,XE129_XE132,XE130_XE132,XE131_XE132,XE134_XE132,XE136_XE132,PB207_U235,PB210_RA226_ACT,PB214_RA226_ACT,PO210_RA226_ACT,BI214_RA226_ACT,RA226_TH230_ACT,AC227_PA231_ACT,TH230_TH232,TH230_TH232_ACT,TH230_U238_ACT,TH232_PB204,TH232_PB208,U234_U238_ACT,U235_PB204,U238_PB204,U238_PB206,U238_TH230_ACT,U238_TH232,U238_TH232_ACT,D7LI(VS LSVEC),D11B(VS NBS951),D13C(VS VPDB),D15N(VS AIR),D18O(PER MIL),D18O(VS SMOW),D18O(VS VSMOW),D29SI(VS NBS28),D30SI(VS NBS28),D33S(VS VCDT),D34S(VS VCDT),D41K(VS SRM3141A),D44_40CA(VS SRM915A),D43_42CA(VS SRM915A),D44_42CA(VS SRM915A),D49TI(VS OL-TI),D56FE(VS IRMM-014),D57FE(VS IRMM-014),D66ZN(VS JMC-LYON),D68ZN(VS JMC-LYON),D87RB(VS SRM984),D98MO(VS NIST3134),D98_95MO(VS NIST3134),D137_134BA(VS SRM3104A),D138_134BA(VS SRM3104A),DD(VS VSMOW),ALBITE(MOL%),ANORTHITE(MOL%),CELESTINE(MOL%),CELSIAN(MOL%),ENSTATITE(MOL%),FE-ORTHOCLASE(MOL%),FORSTERITE(MOL%),FERROSILITE(MOL%),KFESI3O8(MOL%),(AL)KALIFELDSPAR(MOL%),ORTHOCLASE(MOL%),SANIDINE(MOL%),SLAWSONITE(MOL%),SR-ANORTHITE(MOL%),WOLLASTONITE(MOL%),AGE(KA),AGE(MA)
[39] FODOR R. V. (1988),samp. 2B,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,"GABBRO, OLIVINE",,,,,PLAGIOCLASE,,,,,primary,47.7,,,,,,33.6,,,,,,,,,,,,,,,0.34,,16.3,0.04,,,0.01,0.05,,,,,,,,0.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,82.1,,,,,,,,,0.6,,,,,,
[39] FODOR R. V. (1988),samp. 9,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,"GABBRO, OLIVINE",,,,,PLAGIOCLASE,,,,,primary,47.4,,,,,,33.5,,,,,,,,,,,,,,,0.25,,16.7,0.03,,,0.01,0.05,,,,,,,,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,85.5,,,,,,,,,0.6,,,,,,
[39] FODOR R. V. (1988),samp. 1B,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,"GABBRO, OLIVINE",,,,,PLAGIOCLASE,,,,,primary,47.1,,,,,,33.8,,,,,,,,,,,,,,,0.4,,16.8,0.03,,,0.01,0.09,,,,,,,,0.12,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,83.2,,,,,,,,,0.7,,,,,,
[39] FODOR R. V. (1988),samp. 8,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,"GABBRO, OLIVINE",,,,,PLAGIOCLASE,,,,,primary,46.5,,,,,,33.8,,,,,,,,,,,,,,,0.55,,17.7,0.04,,,0.01,0.04,,,,,,,,0.11,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,86.2,,,,,,,,,0.6,,,,,,
[39] FODOR R. V. (1988),samp. 3B,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,"GABBRO, OLIVINE",,,,,PLAGIOCLASE,,,,,primary,47.2,,,,,,33.7,,,,,,,,,,,,,,,0.32,,16.5,0.03,,,0.01,0.04,,,,,,,,0.13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,81.4,,,,,,,,,0.8,,,,,,
[39] FODOR R. V. (1988),samp. 14,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,14_1,,,,primary,53.1,,,,,,29.9,,,,,,,,,,,,,,,0.37,,12.2,0.03,,,0.01,0.09,,,,,,,,0.28,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,60.1,,,,,,,,,1.6,,,,,,
[39] FODOR R. V. (1988),samp. 14,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,14_2,,,,primary,55.4,,,,,,28.9,,,,,,,,,,,,,,,0.32,,10.7,0.02,,,0.01,0.09,,,,,,,,0.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,53.7,,,,,,,,,1.8,,,,,,
[39] FODOR R. V. (1988),samp. 13,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,13_1,,,,primary,51.1,,,,,,30.9,,,,,,,,,,,,,,,0.46,,13.5,0.03,,,0.01,0.08,,,,,,,,0.3,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,65.2,,,,,,,,,1.7,,,,,,
[39] FODOR R. V. (1988),samp. 13,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,13_2,,,,primary,53.6,,,,,,29.6,,,,,,,,,,,,,,,0.48,,11.6,0.05,,,0.01,0.08,,,,,,,,0.34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,60.3,,,,,,,,,2.1,,,,,,
[39] FODOR R. V. (1988),samp. 12,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,,,,,primary,53.3,,,,,,29.8,,,,,,,,,,,,,,,0.4,,12,0.02,,,0.01,0.12,,,,,,,,0.34,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,59.5,,,,,,,,,2,,,,,,
[39] FODOR R. V. (1988),samp. 15B,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,,,,,primary,52.1,,,,,,30,,,,,,,,,,,,,,,0.56,,12.4,0.05,,,,,,,,,,,,0.32,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,60.3,,,,,,,,,1.8,,,,,,
[39] FODOR R. V. (1988),samp. 19A,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,,,,,primary,55,,,,,,29.4,,,,,,,,,,,,,,,0.34,,10.9,0.02,,,0.02,0.17,,,,,,,,0.49,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,54.1,,,,,,,,,2.9,,,,,,
[39] FODOR R. V. (1988),samp. 15A,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / LAUPAHOEHOE SERIES,SUMMIT,19.83,19.83,-155.42,-155.42,subaerial,4206,4206,GABBRO,,,,,PLAGIOCLASE,,,,,primary,53.9,,,,,,29.7,,,,,,,,,,,,,,,0.38,,12.5,0.03,,,0.01,0.1,,,,,,,,0.32,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,61.1,,,,,,,,,1.8,,,,,,
