#ZVView-data-copy:   1-Oct-2024 17:16:32
#=======================================
#
#name:   ENDF/B-VIII.0: W-182(N,EL)W-182-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  23788
#data...
#            X            Y
#          MeV        barns
         1e-11      38.3125 
   1.11082e-11      36.4432 
   1.23386e-11      34.6753 
   1.37059e-11       33.002 
    1.5224e-11      31.4204 
   1.69111e-11      29.9246 
   1.87842e-11      28.5118 
   2.08659e-11      27.1767 
    2.3177e-11      25.9169 
   2.57455e-11      24.7275 
   2.85971e-11      23.6065 
   3.17662e-11      22.5495 
   3.52847e-11      21.5545 
   3.91949e-11      20.6177 
   4.35362e-11      19.7373 
   4.83609e-11      18.9099 
   5.37174e-11      18.1338 
   6.00883e-11      17.3593 
   6.72147e-11      16.6373 
   7.51862e-11      15.9653 
   8.41032e-11      15.3408 
   9.40778e-11      14.7616 
   1.05978e-10      14.1929 
   1.19377e-10      13.6703 
   1.34477e-10      13.1907 
   1.52548e-10      12.7273 
   1.73048e-10      12.3069 
   1.97676e-10      11.9065 
   2.25822e-10      11.5474 
   2.59783e-10      11.2107 
   3.00943e-10      10.8989 
   3.51084e-10      10.6136 
   4.12469e-10      10.3558 
   4.91398e-10      10.1169 
   5.89562e-10       9.9078 
   7.22375e-10      9.71475 
    8.9755e-10      9.54721 
    1.14695e-9      9.39685 
    1.51786e-9      9.26453 
    2.09493e-9      9.15168 
    3.07947e-9      9.05653 
    4.92392e-9      8.98016 
    9.12053e-9      8.92007 
    2.23571e-8      8.87309 
    2.52419e-8      8.86845 
       2.53e-8      8.86837 
    1.63054e-7      8.77665 
    8.94508e-7      8.35729 
     1.4103e-6      8.00423 
    1.80218e-6      7.68174 
    2.11718e-6      7.36875 
    2.36827e-6      7.06788 
    2.57595e-6      6.76903 
    2.74364e-6      6.48135 
    2.88146e-6      6.20267 
    3.00514e-6      5.90952 
    3.11233e-6      5.61276 
    3.20077e-6      5.32894 
    3.26867e-6      5.08151 
    3.33816e-6      4.79572 
    3.38526e-6      4.57986 
    3.43302e-6       4.3395 
    3.48145e-6       4.0703 
    3.51821e-6      3.84655 
     3.5553e-6      3.60148 
    3.59292e-6      3.33066 
    3.63089e-6       3.0319 
    3.65633e-6      2.81628 
    3.68857e-6      2.52382 
    3.71445e-6      2.27296 
    3.74061e-6      2.00489 
    3.76685e-6      1.72206 
    3.79669e-6      1.38703 
    3.83477e-6     0.952842 
    3.84911e-6      0.79459 
    3.85733e-6      0.70733 
    3.86607e-6      0.61865 
    3.87336e-6     0.549102 
    3.87948e-6     0.494571 
    3.88415e-6     0.455903 
    3.88881e-6     0.420148 
    3.89231e-6     0.395506 
    3.89522e-6      0.37656 
    3.89872e-6     0.355926 
    3.90222e-6     0.337818 
    3.90484e-6     0.326058 
    3.90747e-6     0.315995 
    3.91038e-6     0.306969 
    3.91257e-6     0.301805 
    3.91476e-6     0.298115 
    3.91694e-6     0.295998 
    3.91876e-6     0.295509 
    3.92059e-6     0.296246 
    3.92277e-6     0.298845 
    3.92496e-6     0.303429 
    3.92715e-6      0.31013 
    3.92933e-6      0.31909 
    3.93079e-6      0.32639 
    3.93269e-6     0.337559 
    3.93458e-6     0.350726 
    3.93649e-6     0.366165 
    3.93841e-6     0.383886 
    3.94032e-6     0.404025 
    3.94223e-6     0.426727 
    3.94415e-6     0.452145 
    3.94595e-6     0.478745 
     3.9477e-6     0.507125 
    3.94945e-6     0.538192 
     3.9512e-6     0.572099 
    3.95295e-6     0.609006 
    3.95411e-6     0.635362 
    3.95615e-6     0.685038 
    3.95819e-6     0.739501 
    3.96023e-6     0.799077 
    3.96228e-6      0.86412 
    3.96432e-6     0.935015 
    3.96636e-6      1.01217 
     3.9684e-6      1.09605 
    3.97044e-6      1.18712 
    3.97248e-6      1.28592 
    3.97452e-6      1.39301 
    3.97656e-6      1.50904 
     3.9786e-6      1.63466 
    3.98035e-6      1.75055 
     3.9821e-6      1.87453 
    3.98385e-6      2.00717 
     3.9856e-6      2.14905 
    3.98735e-6       2.3008 
    3.98924e-6      2.47714 
    3.99121e-6      2.67441 
    3.99318e-6      2.88723 
    3.99514e-6      3.11687 
    3.99711e-6      3.36473 
    3.99915e-6      3.64262 
    4.00134e-6      3.96603 
    4.00353e-6      4.31847 
    4.00571e-6      4.70271 
     4.0079e-6      5.12185 
    4.01008e-6      5.57931 
    4.01227e-6      6.07886 
    4.01446e-6      6.62468 
    4.01664e-6      7.22136 
    4.01883e-6        7.874 
    4.02102e-6      8.58816 
     4.0232e-6      9.37001 
    4.02539e-6      10.2263 
    4.02758e-6      11.1643 
    4.02976e-6      12.1922 
    4.03195e-6      13.3188 
    4.03416e-6      14.5707 
    4.03644e-6      15.9823 
    4.03871e-6      17.5348 
    4.04099e-6      19.2416 
    4.04326e-6      21.1173 
    4.04553e-6      23.1773 
    4.04781e-6      25.4381 
    4.05008e-6       27.917 
    4.05236e-6      30.6321 
    4.05463e-6      33.6025 
     4.0569e-6      36.8476 
    4.05883e-6      39.8229 
    4.06058e-6      42.7213 
    4.06233e-6      45.8135 
    4.06466e-6      50.2541 
    4.06699e-6      55.0774 
    4.06932e-6      60.3044 
    4.07166e-6      65.9549 
    4.07399e-6      72.0474 
    4.07632e-6      78.5982 
    4.07865e-6      85.6213 
    4.08098e-6      93.1277 
    4.08332e-6      101.125 
    4.08565e-6      109.616 
    4.08798e-6      118.601 
    4.09148e-6      132.988 
    4.09498e-6      148.425 
    4.09848e-6      164.839 
    4.10314e-6      188.051 
    4.10897e-6      218.691 
    4.11993e-6      277.954 
    4.12623e-6      310.442 
    4.13043e-6       330.41 
    4.13462e-6      348.448 
    4.13882e-6      364.096 
    4.14232e-6      375.017 
    4.14582e-6      383.806 
    4.14988e-6      391.136 
    4.15258e-6      394.241 
    4.15608e-6      396.104 
    4.15725e-6      396.185 
    4.16074e-6      394.829 
    4.16471e-6      390.473 
    4.16867e-6      383.298 
    4.17217e-6      374.825 
    4.17567e-6      364.561 
    4.18034e-6      348.502 
      4.185e-6      330.285 
      4.192e-6      300.281 
    4.20599e-6      237.772 
    4.21065e-6      217.929 
    4.21532e-6      199.147 
    4.21998e-6      181.633 
    4.22348e-6      169.408 
    4.22698e-6      157.995 
    4.23048e-6      147.401 
